"Libellé Sortie";"Code Enquète";"Milieu(x)";"Espéces";"Outils ou techniques";"Conformité outil(s)";"Estimation Reglement";"Connaissance Reglement";"Premiere Peche";"Annee Premiere Peche";"Peche Chaque Annee";"Frequence Declaree Peche";"Mois de peche";"Nb Peches Annuelles";"Péche du jour";"Frequence Indiquee";"Espéces prélevées";"Prélèvement annuel poids";"Prélèvement annuel nombre";"Choix des marées";"Coefficient Maree Mini";"Coefficient Maree NSP";"Autre Sites fréquentés";"Départements";"Nom sites";"Motivation(s)";"Autres types de peche"
"Arcouest_01/03/2014_Christelle Barth_1";"";"";"Praire";"Rateau  ";"";"Ne Sait Pas";"Non";"Non";"1964";"Oui";"";"Fev | Oct";"2";"Régulière (>25%)";"";"";"";"";"";"100";"";"Oui";"";"Pointe de Guilben. 44 (NR)";"";"Aucune autre pêche"
"Arcouest_01/03/2014_Dominique Rault_1";"";"";"Palourdes croisées | Praire";"Griffe à dents | Binette";"";"Oui";"Oui";"Non";"1977";"Oui";"";"Jan | Fev | Oct | Nov | Dec";"2";"Régulière (>25%)";"";"";"";"";"";"100";"";"Oui";"";"Etables-Sur-Mer";"";"Aucune autre pêche"
"Arcouest_01/03/2014_Dominique Rault_2";"";"";"Praire";"Binette";"";"Oui";"Oui";"Non";"1965";"Oui";"";"Jan | Fev | Oct | Nov | Dec";"3";"";"";"";"";"";"";"106";"";"Oui";"";"Ploubazlanec > Port Even. Loguivy";"";"En bateau : Ligne"
"Arcouest_01/03/2014_Franck Delisle_1";"";"";"Praire";"Rateau  ";"";"Oui";"Oui";"Non";"2009";"Oui";"";"Fev";"4";"Seule pratique";"";"";"";"";"";"110";"";"Oui";"";"Plouézec > Port Lazo";"";"Aucune autre pêche"
"Arcouest_01/03/2014_Franck Delisle_2";"";"";"Praire";"Rateau  ";"";"Oui";"Oui";"Non";"1955";"Oui";"";"Jan | Fev | Mar | Avr | Mai | Nov | Dec";"13";"Régulière (>25%)";"";"";"";"";"";"80";"";"Oui";"";"Bréhat";"";"En bateau : Ligne"
"Arcouest_01/03/2014_Franck Delisle_3";"";"";"Coquille Saint-Jacques | Ormeaux";"Crochet/croc";"";"Oui";"Oui";"Non";"1994";"Oui";"";"Jan | Fev | Mar | Avr | Mai | Dec";"3";"Principale (>60%)";"";"";"";"";"";"110";"";"Oui";"";"Bréhat. 7 îles";"";"Du  bord : Chasse sous-marine"
"Arcouest_02/04/2014_Franck Delisle_1";"";"Flaques rocheuses";"Coquille Saint-Jacques | Etrille";"Crochet/croc";"";"";"Non Renseigné";"Non";"2004";"Oui";"";"Avr | Mai | Juin | Juil | Aou | Sep";"10";"Principale (>60%)";"";"";"";"";"";"90";"";"Non";"";"";"";"Aucune autre pêche"
"Arcouest_02/04/2014_Michel Laloi_1";"";"";"Praire | Coque commune";"Autres outils à main";"";"";"Non Renseigné";"Non";"1989";"Non";"1.0";"";"3";"Seule pratique";"";"";"";"";"";"98";"";"Non";"";"";"";"En bateau : Ligne"
"Arcouest_02/04/2014_Olivier Massard_1";"";"";"";"Rateau  ";"";"Oui";"Oui";"Non";"1945";"Oui";"";"Mar";"1";"";"";"";"";"";"";"80";"";"Oui";"";"29 ; Madagascard (L'Aber Vrac entre Roscoff et Porsal )";"";"En bateau : Ligne | Du  bord : Ligne"
"Arcouest_02/04/2014_Olivier Massard_2";"";"";"Praire";"Rateau  ";"";"Oui";"Oui";"Non";"1949";"Oui";"";"Mar | Avr | Juil | Oct";"6";"Principale (>60%)";"";"";"";"";"";"90";"";"Oui";"";"Plouézec > Port Lazo";"";"Aucune autre pêche"
"Arcouest_02/04/2014_Olivier Massard_3";"";"";"Palourdes croisées | Praire";"Griffe à dents | Epuisette (générique) | Crochet/croc";"";"";"Non Renseigné";"Non";"1974";"Oui";"";"Jan | Fev | Mar | Avr | Mai | Sep | Oct | Nov | Dec";"27";"";"";"";"";"";"";"98";"";"Oui";"";"Etables-Sur-Mer (plage des Moulins)";"";"En bateau : Ligne"
"Arcouest_03/08/2015_Anne Priac&Stephanie Plaga Lemanski_1";"";"";"";"";"";"";"Non Renseigné";"";"";"Non Renseigné";"";"";"";"";"";"";"";"";"";"";"";"Non Renseigné";"";"";"";"Aucune autre pêche"
"Arcouest_03/08/2015_Anne Priac&Stephanie Plaga Lemanski_10";"";"";"";"Pas d'engin";"";"";"Non Renseigné";"";"";"Non Renseigné";"";"";"";"";"";"";"";"";"";"";"";"Non Renseigné";"";"";"";"Aucune autre pêche"
"Arcouest_03/08/2015_Anne Priac&Stephanie Plaga Lemanski_2";"";"";"";"Rateau  ";"";"";"Non Renseigné";"";"";"Non Renseigné";"";"";"";"";"";"";"";"";"";"";"";"Non Renseigné";"";"";"";"Aucune autre pêche"
"Arcouest_03/08/2015_Anne Priac&Stephanie Plaga Lemanski_3";"";"";"";"Pas d'engin";"";"";"Non Renseigné";"";"";"Non Renseigné";"";"";"";"";"";"";"";"";"";"";"";"Non Renseigné";"";"";"";"Aucune autre pêche"
"Arcouest_03/08/2015_Anne Priac&Stephanie Plaga Lemanski_4";"";"";"";"Piochon/piolet";"";"";"Non Renseigné";"";"";"Non Renseigné";"";"";"";"";"";"";"";"";"";"";"";"Non Renseigné";"";"";"";"Aucune autre pêche"
"Arcouest_03/08/2015_Anne Priac&Stephanie Plaga Lemanski_5";"";"";"";"Griffe à dents";"";"";"Non Renseigné";"";"";"Non Renseigné";"";"";"";"";"";"";"";"";"";"";"";"Non Renseigné";"";"";"";"Aucune autre pêche"
"Arcouest_03/08/2015_Anne Priac&Stephanie Plaga Lemanski_6";"";"";"";"Griffe à dents";"";"";"Non Renseigné";"";"";"Non Renseigné";"";"";"";"";"";"";"";"";"";"";"";"Non Renseigné";"";"";"";"Aucune autre pêche"
"Arcouest_03/08/2015_Anne Priac&Stephanie Plaga Lemanski_7";"";"";"";"Rateau  ";"";"";"Non Renseigné";"";"";"Non Renseigné";"";"";"";"";"";"";"";"";"";"";"";"Non Renseigné";"";"";"";"Aucune autre pêche"
"Arcouest_03/08/2015_Anne Priac&Stephanie Plaga Lemanski_8";"";"";"";"Pas d'engin";"";"";"Non Renseigné";"";"";"Non Renseigné";"";"";"";"";"";"";"";"";"";"";"";"Non Renseigné";"";"";"";"Aucune autre pêche"
"Arcouest_03/08/2015_Anne Priac&Stephanie Plaga Lemanski_9";"";"";"";"Pas d'engin";"";"";"Non Renseigné";"";"";"Non Renseigné";"";"";"";"";"";"";"";"";"";"";"";"Non Renseigné";"";"";"";"Aucune autre pêche"
"Arcouest_03/08/2015_Jéremy Alain&Amandine Galli_1";"";"";"";"Rateau  ";"";"";"Non Renseigné";"";"";"Non Renseigné";"";"";"";"";"";"";"";"";"";"";"";"Non Renseigné";"";"";"";"Aucune autre pêche"
"Arcouest_03/08/2015_Jéremy Alain&Amandine Galli_2";"";"";"";"Rateau  ";"";"";"Non Renseigné";"";"";"Non Renseigné";"";"";"";"";"";"";"";"";"";"";"";"Non Renseigné";"";"";"";"Aucune autre pêche"
"Arcouest_03/08/2015_Jéremy Alain&Amandine Galli_3";"";"";"";"Pas d'engin";"";"";"Non Renseigné";"";"";"Non Renseigné";"";"";"";"";"";"";"";"";"";"";"";"Non Renseigné";"";"";"";"Aucune autre pêche"
"Arcouest_03/08/2015_Jéremy Alain&Amandine Galli_4";"";"";"";"Rateau  ";"";"";"Non Renseigné";"";"";"Non Renseigné";"";"";"";"";"";"";"";"";"";"";"";"Non Renseigné";"";"";"";"Aucune autre pêche"
"Arcouest_04/06/2016_Franck Delisle&Denise Garin_1";"";"Flaques rocheuses";"";"Couteau";"";"";"Non Renseigné";"";"";"Non Renseigné";"";"";"";"";"";"";"";"";"";"";"";"Non Renseigné";"";"";"";"Aucune autre pêche"
"Arcouest_04/06/2016_Franck Delisle&Denise Garin_2";"";"Flaques rocheuses";"";"Rateau   | Crochet/croc";"";"";"Non Renseigné";"";"";"Non Renseigné";"";"";"";"";"";"";"";"";"";"";"";"Non Renseigné";"";"";"";"Aucune autre pêche"
"Arcouest_04/06/2016_Franck Delisle&Denise Garin_3";"";"Flaques rocheuses";"";"Marteau/burrin";"";"";"Non Renseigné";"";"";"Non Renseigné";"";"";"";"";"";"";"";"";"";"";"";"Non Renseigné";"";"";"";"Aucune autre pêche"
"Arcouest_04/06/2016_Jean-Pierre Guillosson&Morgane Declerck_1";"";"";"";"Rateau  ";"";"";"Non Renseigné";"";"";"Non Renseigné";"";"";"";"";"";"";"";"";"";"";"";"Non Renseigné";"";"";"";"Aucune autre pêche"
"Arcouest_04/06/2016_Jean-Pierre Guillosson&Morgane Declerck_2";"";"";"";"Rateau  ";"";"";"Non Renseigné";"";"";"Non Renseigné";"";"";"";"";"";"";"";"";"";"";"";"Non Renseigné";"";"";"";"Aucune autre pêche"
"Arcouest_04/06/2016_Jean-Pierre Guillosson&Morgane Declerck_3";"";"";"";"Rateau  ";"";"";"Non Renseigné";"";"";"Non Renseigné";"";"";"";"";"";"";"";"";"";"";"";"Non Renseigné";"";"";"";"Aucune autre pêche"
"Arcouest_04/06/2016_Jean-Pierre Guillosson&Morgane Declerck_4";"";"";"";"Rateau  ";"";"";"Non Renseigné";"";"";"Non Renseigné";"";"";"";"";"";"";"";"";"";"";"";"Non Renseigné";"";"";"";"Aucune autre pêche"
"Arcouest_04/06/2016_Jean-Pierre Guillosson&Morgane Declerck_5";"";"";"";"Griffe à dents";"";"";"Non Renseigné";"";"";"Non Renseigné";"";"";"";"";"";"";"";"";"";"";"";"Non Renseigné";"";"";"";"Aucune autre pêche"
