"Libellé Sortie";"Code Enquète";"Membre Association";"Nom Association";"Espéce maille";"declaration Connaissance";"Taille déclarée";"connaissance réglementation";"Utilisation outil";"Source outil";"Type d'outil";"Outil Conforme";"Espèce quantité";"Connaissance quota";"Quantité déclarée";"Unite";"Reglementation Quantité";"Espèce période";"Connaissance Période";"Périodes Déclarées";"Connaissance Règlementation Période";"Informé Législation";"Source information législation";"Conseils consommation"
"2018-04-16-EGMP-SEN-004";"2018-04-16_EGMP_116_355807";;;;;;;"Non";"Aucun outil";"Aucun outil";;;;;;;;;;;;"";
"2018-05-18-GONB-SEN-001";"2018-05-18_GONB_01A_355858";"Non";;"Palourdes";"Oui";40;"Réponse correcte";"Non";;;"Non";"Coques";"Oui";150;"Nb";"Réponse inférieure";"Coques";"Pas de période";;"Réponse correcte";"Oui";"Panneau d'information/affichage";"Oui"
"2018-05-18-GONB-SEN-002";"2018-05-18_GONB_01A_355864";"Non";;"Coques";"Oui";30;"Réponse ancienne valeur";"Oui";"Artisanal";"Artisanal";"Non";"Coques";"Oui";3;"kg";"Réponse correcte";"Coques";"Pas de période";;"Réponse correcte";"Oui";"Annuaire des marées | Bouche à oreille (autres pêcheurs, entourage, magasins, structures professionnelles …)";"Oui"
"2018-05-18-GONB-SEN-003";"2018-05-18_GONB_01A_355870";"Non";;"Coques";"Oui";30;"Réponse ancienne valeur";"Non";;;"Non";"Coques";"Oui";3;"kg";"Réponse correcte";"Coques";"Pas de période";;"Réponse correcte";"Oui";"Bouche à oreille (autres pêcheurs, entourage, magasins, structures professionnelles …)";"Oui"
"2018-05-18-GONB-SEN-004";"2018-05-18_GONB_01A_356589";"Non";;"Bivalves fouisseurs";"Oui";20;"Réponse incorrecte ou NSP";"Non";;;"Non";"Bivalves fouisseurs";"Pas de quota";;;"Réponse correcte";"Bivalves fouisseurs";"Pas de période";;"Réponse correcte";;"Culture locale / habitude";"Oui"
"2018-05-30-GONB-SEN-001";"2018-05-30_GONB_01A_356607";"Non";;"Coques";"Oui";;"Réponse incorrecte ou NSP";"Non";;;"Non";"Coques";"Oui";;;"Réponse incorrecte ou NSP";;"Ne sait pas";;"Réponse incorrecte";"Non";"Panneau d'information/affichage | Autre source";"Oui"
"2018-05-30-GONB-SEN-002";"2018-05-30_GONB_01A_356627";"Non";;"Palourdes";"Ne sait pas";;;"Non";;;"Non";"Coques";"Ne sait pas";;;"Réponse incorrecte ou NSP";"Bivalves fouisseurs";"Ne sait pas";;"Réponse correcte";"Non renseigné";"Aucune";"Non"
"2018-05-30-GONB-SEN-003";"2018-05-30_GONB_01A_356633";"Non";;"Coques";"Oui";30;"Réponse ancienne valeur";"Non";;;"Non";"Coques";"Oui";3;"kg";"Réponse correcte";"Coques";"Pas de période";;"Réponse correcte";"Oui";"Bouche à oreille (autres pêcheurs, entourage, magasins, structures professionnelles …) | Médias (journaux, radios, tv)";"Oui"
"2018-05-30-GONB-SEN-004";"2018-05-30_GONB_01A_356640";"Non";;"Coques";"Oui";30;"Réponse ancienne valeur";"Non";;;;"Coques";"Oui";;;"Réponse incorrecte ou NSP";"Coques";"Ne sait pas";;"Réponse incorrecte";"Oui";"Campagne de sensibilisation | Professionnels du tourisme";"Oui"
"2018-06-13-GONB-SEN-015";"2018-06-13_GONB_01A_356649";"Non renseigné";;"Coques";"Oui";;"Réponse incorrecte ou NSP";"Oui";"Autre type de réglette";"Pied à coulisse FNPPSF";"Oui";"Coques";"Oui";3;"kg";"Réponse correcte";"Coques";"Pas de période";;"Réponse correcte";"Oui";"Campagne de sensibilisation";"Non renseigné"
