"Libellé Sortie";"Code Enquète";"Commune résidence";"Département";"Pays";"De passage";"Commune séjour";"Durée séjour";"Hebergement";"Premier Séjour";"Fréquence Visites";"Influence Destination";"Influence Date";"Sexe - Pécheur";"Annee Naissance - Pécheur";"CSP - Pécheur";"Sexe - Autre membre";"Annee Naissance - Autre membre";"CSP - Autre membre";"Tri récolte";"Accueil";"Sensibilisation";"Remarques pécheur";"Précisions remarques"
"2018-04-16-EGMP-SEN-004";"2018-04-16_EGMP_116_355807";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Réglementation";
"2018-05-18-GONB-SEN-001";"2018-05-18_GONB_01A_355858";"ST CAST LE GUILDO";;;"en séjour sur une commune";;;;;;;;"M";1950;"7_Retraités";;;;"Tri complet";"Bon";"Oui";"";
"2018-05-18_GONB_01A_355864";"2018-05-18-GONB-SEN-002";"PLENEUF VAL ANDRE";;;"en séjour sur une commune";;;;;;;;"M";1952;"7_Retraités";"M";1954;"7_Retraités";"Tri complet";"Bon";"Oui";"";
"2018-05-18_GONB_01A_355870";"2018-05-18-GONB-SEN-003";"SENS DE BRETAGNE";;;"en séjour sur une commune";;7;;"Non";12.0;"Oui, déterminant";"Non, secondaire";"M";1955;"7_Retraités";"F";1957;"4_Professions Intermédiaires";"Tri complet";"Bon";"Oui";"";
"2018-05-18_GONB_01A_356589";"2018-05-18-GONB-SEN-004";"FREHEL";;;"en séjour sur une commune";;;;;;;;"M";1947;"7_Retraités";"M";1940;"7_Retraités";"Tri complet";"Bon";"Oui";"";"pêche conforme 100%"
"2018-05-30-GONB-SEN-001";"2018-05-30_GONB_01A_356607";"FOUGERES";;;"pour la journée";;;;"Non";2.0;;;"M";1959;"7-72-72_Anciens artisans, commerçants. chefs d'entreprise";;;;"Non Triée";"Bon";"Oui";"";
"2018-05-30-GONB-SEN-002";"2018-05-30_GONB_01A_356627";"CORSEUL";;;"en séjour sur une commune";;;;;;;;"M";1955;"7-71-71_Anciens agriculteurs exploitants";;;;"Non Triée";"Bon";"Oui";"";
"2018-05-30_GONB_01A_356633";"2018-05-30-GONB-SEN-003";"EVRAN";;;"en séjour sur une commune";;;;;;;;"M";1954;"7-76-78_Anciens ouvriers";"F";1956;"7-76-78_Anciens ouvriers";"Non Triée";"Bon";"Oui";"";
"2018-05-30_GONB_01A_356640";"2018-05-30-GONB-SEN-004";"LE MANS";;;"pour la journée";;;;"Oui";;;;"M";1942;"7-71-71_Anciens agriculteurs exploitants";"F";1946;"7-76-78_Anciens ouvriers";"Tri complet";"Bon";"Oui";"";
"2018-06-13_GONB_01A_356649";"2018-06-13-GONB-SEN-015";"GUICHEN";;;"en séjour sur une commune";"ST CAST LE GUILDO";3;;"Non renseigné";;;;"F";1951;"7-73-75_Anciennes professions intermédiaires";"M";1952;"7-76-78_Anciens ouvriers";"Tri complet";"Bon";;"";
"2018-06-13_GONB_01A_356649";"2018-06-13-GONB-SEN-015";"GUICHEN";;;"en séjour sur une commune";"ST CAST LE GUILDO";3;;"Non renseigné";;;;"F";1951;"7-73-75_Anciennes professions intermédiaires";"F";1947;"7-73-74_Anciens cadres";"Tri complet";"Bon";;"";
