"Libellé Sortie";"Code Enquète";"Heure début récolte";"Temps passé récolte";"Temps total Peche";"Nb pêcheurs récolte";"Panier vide";"Conformité maille";" Conformité quantité";"Tri du panier";"Espece";"Poids récolte";"Nb individus";"Volume récolté";"Type évaluation";"Poids maille";"Nb maille";"Volume maille";"Type évaluation maille";"Taille échantillon"
"2018-04-16-EGMP-SEN-004";"2018-04-16_EGMP_116_355807";;;;;"Oui";;;
"2018-05-18-GONB-SEN-001";"2018-05-18_GONB_01A_355858";"16:30";90;90;1;"Non";;;;"Bivalves fouisseurs";;60;;"Mesurée";;50.0;;"Mesurée";
"2018-05-18-GONB-SEN-001";"2018-05-18_GONB_01A_355858";"16:30";90;90;1;"Non";;;;"Bivalves fouisseurs";;30;;"Mesurée";;20.0;;"Mesurée";
"2018-05-18-GONB-SEN-002";"2018-05-18_GONB_01A_355864";"16:00";90;120;2;"Non";;;;"Coques";;150;;"Estimée";;150.0;;"Estimée";
"2018-05-18-GONB-SEN-002";"2018-05-18_GONB_01A_355864";"16:00";90;120;2;"Non";;;;"Palourdes";;40;;"Mesurée";;40.0;;"Mesurée";100.0
"2018-05-18-GONB-SEN-003";"2018-05-18_GONB_01A_355870";"16:30";120;160;2;"Non";;;;"Coques";;150;;"Estimée";;100.0;;"Estimée";
"2018-05-18-GONB-SEN-003";"2018-05-18_GONB_01A_355870";"16:30";120;160;2;"Non";;;;"Palourdes";;50;;"Mesurée";;35.0;;"Mesurée";50.0
"2018-05-18-GONB-SEN-004";"2018-05-18_GONB_01A_356589";"17:30";90;120;2;"Non";;;;"Bivalves fouisseurs";;150;;"Mesurée";;150.0;;"Mesurée";150.0
"2018-05-30-GONB-SEN-001";"2018-05-30_GONB_01A_356607";"14:00";30;90;3;"Non";;;;"Coques";;76;;"Mesurée";;12.0;;"Mesurée";100.0
"2018-05-30-GONB-SEN-001";"2018-05-30_GONB_01A_356607";"14:00";30;90;3;"Non";;;;"Palourdes";;4;;"Mesurée";;4.0;;"Mesurée";100.0
"2018-05-30-GONB-SEN-002";"2018-05-30_GONB_01A_356627";"14:00";60;90;1;"Non";;;
"2018-05-30-GONB-SEN-003";"2018-05-30_GONB_01A_356633";"14:45";30;60;3;"Non";;;
"2018-05-30-GONB-SEN-004";"2018-05-30_GONB_01A_356640";"15:00";60;60;2;"Non";;;;"Palourdes";;1;;"Mesurée";;1.0;;"Mesurée";100.0
"2018-05-30-GONB-SEN-004";"2018-05-30_GONB_01A_356640";"15:00";60;60;2;"Non";;;;"Coques";;15;;"Mesurée";;14.0;;"Mesurée";
"2018-06-13-GONB-SEN-015";"2018-06-13_GONB_01A_356649";"13:30";90;120;3;"Non";;;;"Palourdes";;84;;"Mesurée";;53.0;;"Mesurée";
"2018-06-13-GONB-SEN-015";"2018-06-13_GONB_01A_356649";"13:30";90;120;3;"Non";;;;"Coques";;181;;"Mesurée";;166.0;;"Mesurée";
"2018-06-13-GONB-SEN-016";"2018-06-13_GONB_01A_356659";"13:30";90;120;2;"Non";;;
"2018-06-13-GONB-SEN-017";"2018-06-13_GONB_01A_356717";"14:15";100;100;2;"Non";;;
"2018-06-13-GONB-SEN-018";"2018-06-13_GONB_01A_356730";"14:00";90;120;2;"Non";;;;"Palourdes";;140;;"Mesurée";;100.0;;"Mesurée";100.0
"2018-06-13-GONB-SEN-019";"2018-06-13_GONB_01A_357079";"14:30";60;60;2;"Non renseigné";;;
"2018-06-13-GONB-SEN-020";"2018-06-13_GONB_01A_357094";"14:30";90;120;5;"Non";;;;"Coques";;145;;"Mesurée";;123.0;;"Mesurée";100.0
"2018-06-29-GONB-SEN-002";"2018-06-29_GONB_01A_357110";"15:45";30;90;1;"Non";;;;"Coques";750.0;83;;"Mesurée";650.0;62.0;;"Mesurée";100.0
"2018-06-29-GONB-SEN-002";"2018-06-29_GONB_01A_357110";"15:45";30;90;1;"Non";;;;"Palourdes";;4;;"Mesurée";;2.0;;"Mesurée";100.0
"2018-06-29-GONB-SEN-003";"2018-06-29_GONB_01A_357121";"14:50";60;90;2;"Non";;;;"Coques";2000.0;215;;"Mesurée";1500.0;177.0;;"Mesurée";100.0
"2018-07-11-LEGD-SEN-001";"2018-07-11_LEGD_00_358467";"10:55";60;60;3;"Non";;;;"Petits poissons découverte";;6;;"Mesurée";;;;"Non renseignée";100.0
"2018-07-11-LEGD-SEN-001";"2018-07-11_LEGD_00_358467";"10:55";60;60;3;"Non";;;;"Bouquet";;2;;"Mesurée";;;;"Non renseignée";100.0
"2018-07-11-LEGD-SEN-001";"2018-07-11_LEGD_00_358467";"10:55";60;60;3;"Non";;;;"Crabe vert d'Europe, crabe enragé";;1;;"Mesurée";;;;"Non renseignée";100.0
"2018-04-19-GUER-SEN-001";"2018-04-19_GUER_3B_360008";;90;90;2;"Non";;;;"Palourdes";1000.0;;;"Estimée";950.0;;;"Estimée";
"2018-04-19-GUER-SEN-001";"2018-04-19_GUER_3B_360008";;90;90;2;"Non";;;;"Coque commune";;;;"Non renseignée";;;;"Non renseignée";
"2018-04-19-GUER-SEN-003";"2018-04-19_GUER_3B_360032";;60;60;3;"Non";;;;"Myes";;20;;"Mesurée";;;;"Mesurée";
"2018-04-19-GUER-SEN-003";"2018-04-19_GUER_3B_360032";;60;60;3;"Non";;;;"Couteaux";;1;;"Mesurée";;1.0;;"Mesurée";
"2018-07-16-LEGD-SEN-022";"2018-07-16_LEGD_00_360392";"13:40";30;120;1;"Non";;;;"Coques";400.0;35;;"Mesurée";400.0;35.0;;"Mesurée";100.0
