"Libellé Sortie";"Code Enquète";"Milieu(x)";"Espéces";"Outils ou techniques";"Conformité outil(s)";"Estimation Reglement";"Connaissance Reglement";"Premiere Peche";"Annee Premiere Peche";"Peche Chaque Annee";"Frequence Declaree Peche";"Mois de peche";"Nb Peches Annuelles";"Péche du jour";"Frequence Indiquee";"Espéces prélevées";"Prélèvement annuel poids";"Prélèvement annuel nombre";"Choix des marées";"Coefficient Maree Mini";"Coefficient Maree NSP";"Autre Sites fréquentés";"Départements";"Nom sites";"Motivation(s)";"Autres types de peche"
"2018-04-16-EGMP-SEN-004";"2018-04-16_EGMP_116_355807";"Champs de blocs";"Etrille";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-18-GONB-SEN-001";"2018-05-18_GONB_01A_355858";"Sables vaseux";"Palourdes | Coques";"Rateau et assimilé";"";"Oui";"Oui";"Non";"1967";"Oui";"";"Mai | Juin | Juil | Aou";"10";"Principale (>60%)";"";"Bivalves fouisseurs | Coques | Palourdes";"";"";"N'importe quel jour de la semaine | Lorsque la météo favorable";"50";"";"Non Renseigné";"";"";"Paysage et bon air | Plaisir : aspect ludique";"Aucune autre pêche"
"2018-05-18-GONB-SEN-002";"2018-05-18_GONB_01A_355864";"Sables vaseux";"Palourdes | Coques";"Rateau et assimilé";"";"Oui";"Oui";"Non";"1958";"Oui";"";"Avr | Mai | Juin | Juil | Aou | Sep";"20";"";"";"Coques | Palourdes | Crustacés";"";"";"N'importe quel jour de la semaine";"90";"";"Non";"";"";"Paysage et bon air | Convivialité";""
"2018-05-18-GONB-SEN-003";"2018-05-18_GONB_01A_355870";"Sables vaseux";"Palourdes | Coques";"Rateau et assimilé";"";"Oui";"Oui";"Non";"";"Oui";"";"Avr | Mai | Juin | Juil | Aou | Sep | Oct";"8";"";"";"";"";"";"N'importe quel jour de la semaine";"50";"";"Non Renseigné";"";"";"Plaisir : aspect ludique | Convivialité";"Aucune autre pêche"
"2018-05-18-GONB-SEN-004";"2018-05-18_GONB_01A_356589";"Sables vaseux";"Bivalves fouisseurs";"Rateau (générique) | Autres outils à main";"";"Oui";"Oui";"Non";"";"Oui";"";"Mai | Juin | Juil | Aou | Sep";"15";"Principale (>60%)";"";"Bivalves fouisseurs";"";"";"N'importe quel jour de la semaine";"50";"";"Non";"";"";"Plaisir : aspect ludique | Convivialité";"Aucune autre pêche"
"2018-05-30-GONB-SEN-001";"2018-05-30_GONB_01A_356607";"Sables vaseux";"Bivalves fouisseurs";"Petits outils de sondage | Couteau";"";"Oui";"Oui";"Non";"";"Oui";"";"Mai | Juin | Sep | Oct";"5";"Régulière (>25%)";"";"Bivalves fouisseurs";"";"";"Uniquement en week-end/vacances";"";"Ne Sait pas";"";"";"";"Plaisir : aspect ludique | Convivialité";"Aucune autre pêche"
"2018-05-30-GONB-SEN-002";"2018-05-30_GONB_01A_356627";"Sables vaseux";"Coques";"Rateau et assimilé";"";"Oui";"Oui";"Oui";"";"Non";"2.0";"Avr | Mai | Juin";"";"Première fois";"";"Coques | Palourdes";"";"";"Uniquement aux grandes marées";"80";"";"Non";"";"";"Convivialité | Activité physique";"Aucune autre pêche"
"2018-05-30-GONB-SEN-003";"2018-05-30_GONB_01A_356633";"Sables vaseux";"Coques | Arénicoles";"Fourche";"";"Oui";"Oui";"Non";"";"Non";"2.0";"";"2";"Seule pratique";"";"Coques | Arénicoles | Poissons";"";"";"Lorsque la météo favorable";"60";"";"Non Renseigné";"";"";"Plaisir : aspect ludique";"Du  bord : Ligne"
"2018-05-30-GONB-SEN-004";"2018-05-30_GONB_01A_356640";"Sables vaseux";"Palourdes | Coques";"Rateau  ";"";"Ne Sait Pas";"Non";"";"";"Oui";"";"Sep";"";"";"";"";"";"";"Lorsque la météo favorable";"";"Ne Sait pas";"Non Renseigné";"";"";"Passer le temps, s'occuper";"Aucune autre pêche"
"2018-06-13-GONB-SEN-015";"2018-06-13_GONB_01A_356649";"Sables vaseux";"Palourdes | Coques";"Griffe (générique)";"";"Ne Sait Pas";"Oui";"";"";"Oui";"";"";"5";"";"";"";"";"";"N'importe quel jour de la semaine";"85";"";"";"";"";"Qualité des produits | Plaisir : aspect ludique";"Aucune autre pêche"
"2018-06-13-GONB-SEN-016";"2018-06-13_GONB_01A_356659";"Sables vaseux";"Palourdes | Coques";"Rateau (générique)";"";"Ne Sait Pas";"Oui";"Non";"1965";"Oui";"";"Avr | Mai | Juin | Oct";"11";"Occasionnelle (>5%)";"";"Etrille";"";"";"N'importe quel jour de la semaine";"85";"";"Oui";"Manche";"Saint Martin de Bréhal";"Plaisir : aspect ludique | Convivialité";"En bateau : Ligne | Du  bord : Ligne"
"2018-06-13-GONB-SEN-017";"2018-06-13_GONB_01A_356717";"Sables vaseux";"Coques";"Rateau (générique) | Griffe (générique)";"";"Non";"Non";"Non";"1968";"Oui";"";"Juin | Juil | Aou | Sep";"5";"Seule pratique";"";"";"";"";"Lorsque la météo favorable";"100";"";"Oui";"Côtes-d'Armor";"Les quatre Vaux à Saint Cast (mais y'a plus rien!!)";"Qualité des produits | Paysage et bon air";"Aucune autre pêche"
"2018-06-13-GONB-SEN-018";"2018-06-13_GONB_01A_356730";"Sables vaseux";"Palourdes";"Couteau";"";"Oui";"Oui";"Non";"2000";"Oui";"";"Avr | Mai | Juin | Juil | Aou";"15";"Principale (>60%)";"";"Huitres | Palourdes";"";"";"N'importe quel jour de la semaine";"";"Ne Sait pas";"Oui";"Vendée";"Noirmoutier";"Paysage et bon air";"Aucune autre pêche"
"2018-06-13-GONB-SEN-019";"2018-06-13_GONB_01A_357079";"Sables vaseux";"Coques";"Griffe (générique)";"";"Oui";"Oui";"Non";"1958";"Oui";"";"Jan | Fev | Mar | Avr | Mai | Juin | Juil | Aou | Sep | Oct | Nov | Dec";"7";"Régulière (>25%)";"";"Moules | Bigorneau";"";"";"N'importe quel jour de la semaine";"75";"";"Oui";"Côtes-d'Armor";"moules à la fosse Eyrand
bigorneaux St Michel Caroual St Pabu";"Qualité des produits | Plaisir : aspect ludique";"Aucune autre pêche"
"2018-06-13-GONB-SEN-020";"2018-06-13_GONB_01A_357094";"Sables vaseux";"Coques";"Rateau et assimilé";"";"Oui";"Oui";"Non";"";"Oui";"";"Mai | Juin | Juil | Aou | Sep | Oct";"4";"Régulière (>25%)";"";"Couteaux | Palourdes | Petits poissons fritures";"";"";"N'importe quel jour de la semaine";"85";"";"Oui";"Côtes-d'Armor";"St Cast";"Gratuité des produits | Plaisir : aspect ludique";"En bateau : Ligne"
"2018-06-29-GONB-SEN-002";"2018-06-29_GONB_01A_357110";"Sables vaseux";"Palourdes | Coques";"Griffe (générique)";"";"Ne Sait Pas";"Oui";"Non";"1951";"Oui";"";"";"2";"Occasionnelle (>5%)";"";"Coques | Arénicoles";"";"";"N'importe quel jour de la semaine";"40";"";"Non";"";"";"Recherche/gratuité d'appâts";"En bateau : Ligne"
"2018-06-29-GONB-SEN-003";"2018-06-29_GONB_01A_357121";"Sables vaseux";"Coques";"Rateau (générique)";"";"Ne Sait Pas";"Non";"Non";"1993";"Oui";"";"Juin | Juil | Aou | Sep";"5";"Principale (>60%)";"";"Coques";"";"";"N'importe quel jour de la semaine | Lorsque la météo favorable";"65";"";"Oui";"Côtes-d'Armor";"Saint Jacut";"Convivialité | Recherche/gratuité d'appâts";"En bateau : Ligne"
"2018-07-11-LEGD-SEN-001";"2018-07-11_LEGD_00_358467";"Roche nue | Flaques rocheuses | Sables battus";"Crabes | Crevettes | Petits poissons découverte";"Jouets de plage | Pas d'engin";"";"Oui";"Oui";"Non Renseigné";"";"Oui";"";"Juil | Aou";"25";"Principale (>60%)";"";"";"0.0";"0";"Uniquement en week-end/vacances";"";"Ne Sait pas";"Oui";"Finistère";"Kerlouan (29) : site de Rudoloc";"Passer le temps, s'occuper";"Aucune autre pêche"
"2018-04-19-GUER-SEN-001";"2018-04-19_GUER_3B_360008";"Sables battus";"Bivalves fouisseurs | Palourdes | Coque commune";"Griffe à dents";"";"Oui";"Oui";"Non";"1955";"Oui";"";"Juin | Sep";"5";"Occasionnelle (>5%)";"";"Coque commune | Huître creuse | Palourdes | Crevettes";"";"";"Uniquement aux grandes marées | Lorsque la météo favorable";"80";"";"Oui";"Loire-Atlantique";"  St Brévin";"Passer le temps, s'occuper";"Aucune autre pêche"
"2018-04-19-GUER-SEN-003";"2018-04-19_GUER_3B_360032";"Sables battus";"Coques | Couteaux";"Au sel";"";"";"Non Renseigné";"Non";"";"Non";"";"";"1";"Première fois";"";"";"";"";"Uniquement en week-end/vacances";"";"Ne Sait pas";"Non";"";"";"Paysage et bon air | Plaisir : aspect ludique | Habitude/Tradition";"Aucune autre pêche"
"2018-07-16-LEGD-SEN-022";"2018-07-16_LEGD_00_360392";"Sables battus";"Coques";"Rateau (générique)";"";"Oui";"Oui";"Non";"1966";"Oui";"";"Fev | Mar | Avr | Mai | Juin | Juil";"10";"Principale (>60%)";"";"Coques | Palourdes | Ormeaux | Etrille";"";"";"N'importe quel jour de la semaine | Lorsque la météo favorable";"";"Ne Sait pas";"Oui";"Finistère";"Rade de Brest";"Qualité des produits | Paysage et bon air";"Aucune autre pêche"
"2018-07-16-LEGD-SEN-024";"2018-07-16_LEGD_00_360399";"Sables battus";"Coques";"Rateau (générique) | Au doigt";"";"Ne Sait Pas";"Non";"Non";"1980";"Non";"";"Juil | Aou";"1";"Principale (>60%)";"";"Coques";"";"";"Uniquement en week-end/vacances";"";"Ne Sait pas";"Oui";"Finistère";"ne sait plus";"Paysage et bon air | Plaisir : aspect ludique";"Aucune autre pêche"
"2018-07-16-LEGD-SEN-025";"2018-07-16_LEGD_00_360412";"Sables battus";"Coques";"Pas d'engin";"";"Oui";"Oui";"Oui";"";"Non Renseigné";"";"";"";"Première fois";"";"";"";"";"Uniquement en week-end/vacances";"";"Ne Sait pas";"Non";"";"";"Paysage et bon air | Plaisir : aspect ludique";"Aucune autre pêche"
