"Libellé Sortie";"Code Enquète";"Commune résidence";"Département";"Pays";"De passage";"Commune séjour";"Durée séjour";"Hebergement";"Premier Séjour";"Fréquence Visites";"Influence Destination";"Influence Date";"Sexe - Pécheur";"Annee Naissance - Pécheur";"CSP - Pécheur";"Sexe - Autre membre";"Annee Naissance - Autre membre";"CSP - Autre membre";"Tri récolte";"Accueil";"Sensibilisation";"Remarques pécheur";"Précisions remarques"
"2018-05-16-GONB-SEN-001";"2018-05-16_GONB_08C_356326";"LESSAY";;;"pour la journée";;;;;;;;"F";1951;"0_Non Renseigné";;;;"Panier vide";"Bon";"Oui";"";
"2018-05-16-GONB-SEN-003";"2018-05-16_GONB_08C_356337";"AGON COUTAINVILLE";;;"en séjour sur une commune";;;;;;;;"F";1936;"0_Non Renseigné";;;;"Tri complet";"Bon";"Oui";"";
"2018-05-16-GONB-SEN-004";"2018-05-16_GONB_08C_356344";"ST OMER";;;"en séjour sur une commune";"GOUVILLE SUR MER";6;;;;;;"F";1974;"0_Non Renseigné";;;;"Tri complet";"Bon";"Oui";"";"1 praire pêchée en période de fermeture de l'espèce"
"2018-05-16-GONB-SEN-005";"2018-05-16_GONB_08C_356352";"ST OMER";;;"en séjour sur une commune";"GOUVILLE SUR MER";6;"Camping car";;;;;"F";1955;"0_Non Renseigné";;;;"Tri complet";"Bon";"Oui";"";"1 huître pêchée en période de fermeture"
"2018-05-16-GONB-SEN-006";"2018-05-16_GONB_08C_356359";"CAMBERNON";;;"en séjour sur une commune";;;;;;;;"F";1948;"0_Non Renseigné";;;;"Tri complet";"Bon";"Oui";"";
"2018-05-16-GONB-SEN-007";"2018-05-16_GONB_08C_356365";"COUTANCES";;;"en séjour sur une commune";;;;;;;;"F";1970;"0_Non Renseigné";;;;"Tri complet";"Bon";"Oui";"";"une praire pêchée en période de fermeture"
"2018-05-16-GONB-SEN-008";"2018-05-16_GONB_08C_356373";"COUTANCES";;;"en séjour sur une commune";;;;;;;;"F";1945;"0_Non Renseigné";;;;"Tri complet";"Bon";"Oui";"";
"2018-05-16-GONB-SEN-009";"2018-05-16_GONB_08C_356379";"CONDE SUR VIRE";;;"pour la journée";;;;;;;;"M";1944;"0_Non Renseigné";;;;"Tri partiel";"Bon";"Oui";"";
"2018-05-16-GONB-SEN-010";"2018-05-16_GONB_08C_356385";"ST SAUVEUR LENDELIN";;;"en séjour sur une commune";;;;;;;;"M";1946;"0_Non Renseigné";;;;"Tri complet";"Bon";"Oui";"";
"2018-05-16-GONB-SEN-011";"2018-05-16_GONB_08C_356391";"CONDE SUR VIRE";;;"en séjour sur une commune";;;;;;;;"M";1947;"0_Non Renseigné";;;;"Tri complet";"Bon";"Oui";"";
"2018-05-17-GONB-SEN-001";"2018-05-17_GONB_06D_356397";"ARGENTEUIL";;;"en séjour sur une commune";"BREHAL";4;;;;;;"F";1958;"0_Non Renseigné";;;;"Tri complet";"Bon";"Oui";"";
"2018-05-17-GONB-SEN-003";"2018-05-17_GONB_06D_356403";"BREHAL";;;"en séjour sur une commune";;;;;;;;"F";1949;"0_Non Renseigné";;;;"Panier vide";"Bon";"Oui";"";
"2018-05-17-GONB-SEN-004";"2018-05-17_GONB_06D_356408";"LA HAYE PESNEL";;;"pour la journée";;;;;;;;"F";1943;"0_Non Renseigné";;;;"Tri complet";"Bon";"Oui";"";
"2018-05-17-GONB-SEN-005";"2018-05-17_GONB_06D_356419";"CAEN";;;"en séjour sur une commune";"BREHAL";3;;;;;;"F";1951;"0_Non Renseigné";;;;"Tri complet";"Bon";"Oui";"";
"2018-05-17_GONB_06D_356426";"2018-05-17-GONB-SEN-006";"DOMLOUP";;;"pour la journée";;;;;;;;"F";1958;"0_Non Renseigné";"F";1961;;"Tri complet";"Bon";"Oui";"";
"2018-05-17-GONB-SEN-007";"2018-05-17_GONB_06D_356434";"ST LO";;;"pour la journée";;;;;;;;"M";1946;"0_Non Renseigné";;;;"Tri complet";"Bon";"Oui";"";
"2018-05-17-GONB-SEN-008";"2018-05-17_GONB_06D_356442";"BREHAL";;;"en séjour sur une commune";;;;;;;;"M";1953;"0_Non Renseigné";;;;"Tri complet";"Moyen";"Moyen";"";
"2018-05-17-GONB-SEN-009";"2018-05-17_GONB_06D_356448";"VILLEDIEU LES POELES ROUFFIGNY";;;"en séjour sur une commune";;;;;;;;"M";1957;"0_Non Renseigné";;;;"Tri complet";"Bon";"Moyen";"";
"2018-05-17-GONB-SEN-010";"2018-05-17_GONB_06D_356454";"AVRANCHES";;;"en séjour sur une commune";;;;"Non renseigné";;;;"F";1961;"0_Non Renseigné";;;;"Récolte conforme";"Bon";"Moyen";"";
"2018-05-17-GONB-SEN-011";"2018-05-17_GONB_06D_356460";;;;"pour la journée";;;;"Non renseigné";;;;"F";1947;"0_Non Renseigné";;;;"Tri complet";"Bon";"Oui";"";
"2018-06-13-GONB-SEN-001";"2018-06-13_GONB_08A_356466";"AGON COUTAINVILLE";;;"en séjour sur une commune";;;;;;;;"M";1951;"0_Non Renseigné";;;;"Panier vide";"Moyen";"Moyen";"";
"2018-06-13-GONB-SEN-003";"2018-06-13_GONB_08A_356471";"LES PIEUX";;;"pour la journée";;;;;;;;"M";1948;"0_Non Renseigné";;;;"Tri complet";"Bon";"Oui";"";
"2018-06-13-GONB-SEN-004";"2018-06-13_GONB_08A_356478";;;;"en séjour sur une commune";;;;;;;;"M";;"0_Non Renseigné";;;;;"Refus";;"";
"2018-06-13-GONB-SEN-005";"2018-06-13_GONB_08A_356484";"AGON COUTAINVILLE";;;"en séjour sur une commune";;;;;;;;"F";1947;"0_Non Renseigné";;;;"Tri complet";"Bon";"Oui";"";
"2018-06-13-GONB-SEN-006";"2018-06-13_GONB_08A_356491";"CAEN";;;"pour la journée";;;;;;;;"M";1945;"0_Non Renseigné";;;;"Tri complet";"Bon";"Oui";"";
"2018-06-13-GONB-SEN-007";"2018-06-13_GONB_08A_356498";"ST GERMAIN LE GAILLARD";;;"pour la journée";;;;;;;;"M";1936;"0_Non Renseigné";;;;"Tri complet";"Bon";"Oui";"";
"2018-06-13_GONB_08A_356505";"2018-06-13-GONB-SEN-008";"ROUEN";;;"en séjour sur une commune";"AGON COUTAINVILLE";15;;;;;;"M";1945;"0_Non Renseigné";"F";1946;;"Tri complet";"Bon";"Oui";"";
"2018-06-13-GONB-SEN-009";"2018-06-13_GONB_08A_356513";"LE LOREY";;;"pour la journée";;;;;;;;"M";1956;"0_Non Renseigné";;;;"Tri complet";"Bon";"Oui";"";
"2018-06-13-GONB-SEN-010";"2018-06-13_GONB_08A_356519";"SURGERES";;;"pour la journée";;;;;;;;"M";1953;"0_Non Renseigné";;;;"Tri partiel";"Bon";"Oui";"";
"2018-06-13-GONB-SEN-011";"2018-06-13_GONB_08A_356526";"AGON COUTAINVILLE";;;"en séjour sur une commune";;;;;;;;"F";1943;"0_Non Renseigné";;;;"Tri complet";"Bon";"Oui";"";
"2018-06-13-GONB-SEN-012";"2018-06-13_GONB_08A_356533";"AGON COUTAINVILLE";;;"en séjour sur une commune";;;;;;;;"F";1936;"0_Non Renseigné";;;;"Récolte conforme";"Bon";"Moyen";"";
"2018-06-13_GONB_08A_356539";"2018-06-13-GONB-SEN-013";"AGON COUTAINVILLE";;;"en séjour sur une commune";;;;;;;;"F";1954;"0_Non Renseigné";"M";1956;;"Récolte conforme";"Bon";"Moyen";"";
"2018-06-13-GONB-SEN-014";"2018-06-13_GONB_08A_356547";"AGON COUTAINVILLE";;;"en séjour sur une commune";;;;;;;;"M";1953;"0_Non Renseigné";;;;"Tri complet";"Bon";"Oui";"";
"2018-06-13-GONB-SEN-015";"2018-06-13_GONB_08A_356554";;;;"en séjour sur une commune";;;;;;;;"M";1942;"0_Non Renseigné";;;;;"Refus";"Non";"";
"2018-04-01-EGMP-SEN-001";"2018-04-01_EGMP_129_356753";;;;"en séjour sur une commune";;;;;;;;;;;;;;;"Bon";;"Réglementation";"Remarques ressource/environnement"
