"Libellé Sortie";"Code Enquète";"Milieu(x)";"Espéces";"Outils ou techniques";"Conformité outil(s)";"Estimation Reglement";"Connaissance Reglement";"Premiere Peche";"Annee Premiere Peche";"Peche Chaque Annee";"Frequence Declaree Peche";"Mois de peche";"Nb Peches Annuelles";"Péche du jour";"Frequence Indiquee";"Espéces prélevées";"Prélèvement annuel poids";"Prélèvement annuel nombre";"Choix des marées";"Coefficient Maree Mini";"Coefficient Maree NSP";"Autre Sites fréquentés";"Départements";"Nom sites";"Motivation(s)";"Autres types de peche"
"2018-05-16-GONB-SEN-001";"2018-05-16_GONB_08C_356326";"";"";"";"";"";"";"";"";"Non Renseigné";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-16-GONB-SEN-003";"2018-05-16_GONB_08C_356337";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-04-01-EGMP-SEN-001";"2018-04-01_EGMP_129_356753";"";"Céphalopodes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-04-01-EGMP-SEN-003";"2018-04-01_EGMP_129_356759";"";"Etrille";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-04-01-EGMP-SEN-003";"2018-04-01_EGMP_129_356766";"";"Huitres";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-04-01-EGMP-SEN-005";"2018-04-01_EGMP_129_356772";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-04-01-EGMP-SEN-006";"2018-04-01_EGMP_129_356780";"";"Bouquet";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-04-16-EGMP-SEN-004";"2018-04-16_EGMP_116_356786";"";"Etoiles de mer et autres échinodermes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-04-16-EGMP-SEN-006";"2018-04-16_EGMP_116_356792";"";"Poissons";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-04-16-EGMP-SEN-007";"2018-04-16_EGMP_116_356798";"";"Etrille";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-04-16-EGMP-SEN-008";"2018-04-16_EGMP_116_356804";"";"Etrille";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-04-16-EGMP-SEN-009";"2018-04-16_EGMP_116_356810";"";"Etrille";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-04-16-EGMP-SEN-010";"2018-04-16_EGMP_116_356816";"";"Etrille";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-04-16-EGMP-SEN-011";"2018-04-16_EGMP_116_356822";"";"Etrille";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-04-16-EGMP-SEN-012";"2018-04-16_EGMP_116_356828";"";"Etrille";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-04-16-EGMP-SEN-013";"2018-04-16_EGMP_116_356834";"";"Oursins | Etrille | Autres poissons divers";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-04-16-EGMP-SEN-014";"2018-04-16_EGMP_116_356840";"";"Praire";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-04-16-EGMP-SEN-041";"2018-04-16_EGMP_116_356847";"";"Etrille";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-04-16-EGMP-SEN-041";"2018-04-16_EGMP_116_356853";"";"Crabes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-04-16-EGMP-SEN-041";"2018-04-16_EGMP_116_356859";"";"Huitres";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-04-16-EGMP-SEN-041";"2018-04-16_EGMP_116_356865";"";"Etrille";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-04-16-EGMP-SEN-041";"2018-04-16_EGMP_116_356871";"";"Praire";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-04-16-EGMP-SEN-041";"2018-04-16_EGMP_116_356877";"";"Praire";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-23-BERR-SEN-001";"2018-05-23_BERR_03_356942";"";"Palourde croisée japonaise";"Au doigt";"";"Oui";"Oui";"Oui";"";"Non";"";"";"";"Première fois";"";"";"";"";"";"";"";"";"";"";"Qualité des produits | Gratuité des produits";"Aucune autre pêche"
"2018-05-23-BERR-SEN-003";"2018-05-23_BERR_02_356951";"";"Palourde croisée japonaise";"Au doigt";"";"Non";"Non";"Non";"2016";"Oui";"";"Mai | Juin";"2";"Régulière (>25%)";"";"";"";"";"Lorsque la météo favorable";"";"";"Non";"";"";"Qualité des produits";"Du  bord : Ligne"
"2018-05-23-BERR-SEN-004";"2018-05-23_BERR_02_356963";"";"";"Au doigt";"";"Oui";"Oui";"Non";"2016";"Oui";"";"Juin | Juil | Aou";"25";"Seule pratique";"";"";"";"";"N'importe quel jour de la semaine | Lorsque la météo favorable";"";"";"Oui";"Manche";"";"Gratuité des produits | Habitude/Tradition";"En bateau : Ligne | Du  bord : Ligne | Eaux douces"
"2018-05-23-BERR-SEN-005";"2018-05-23_BERR_02_356971";"";"";"Au doigt";"";"";"";"Non";"2016";"Oui";"";"Avr | Mai";"2";"Seule pratique";"";"";"";"";"Lorsque la météo favorable";"";"";"Non";"";"";"Plaisir : aspect ludique | Habitude/Tradition";"Aucune autre pêche"
"2018-05-23-BERR-SEN-006";"2018-05-23_BERR_02_356981";"";"";"Au doigt";"";"Oui";"Oui";"Oui";"";"";"";"";"";"Première fois";"";"";"";"";"Lorsque la météo favorable";"";"";"Non";"";"";"Qualité des produits | Gratuité des produits";"Du  bord : Ligne"
"2018-05-24-BERR-SEN-001";"2018-05-24_BERR_01_356989";"";"";"Rateau (générique)";"";"Ne Sait Pas";"Non";"Non";"2008";"Oui";"";"Juin | Juil | Aou";"4";"Occasionnelle (>5%)";"";"";"";"";"Lorsque la météo favorable";"";"";"Non";"";"";"Habitude/Tradition | Passer le temps, s'occuper";"Du  bord : Ligne"
"2018-05-24-BERR-SEN-003";"2018-05-24_BERR_01_356998";"";"";"Griffe (générique) | Au doigt";"";"Oui";"Non";"Non";"1958";"Oui";"";"Mai | Juin";"7";"Régulière (>25%)";"";"Moules | Crabes";"";"";"N'importe quel jour de la semaine";"";"";"Oui";"Vendée";"";"Passer le temps, s'occuper";"Aucune autre pêche"
"2018-05-24-BERR-SEN-004";"2018-05-24_BERR_01_357005";"";"";"Au doigt";"";"Oui";"Oui";"Oui";"";"";"";"";"";"Première fois";"";"Couteaux";"";"";"";"";"";"Non";"";"";"Qualité des produits | Passer le temps, s'occuper";"Du  bord : Ligne"
"2018-05-23-BERR-SEN-007";"2018-05-23_BERR_03_357012";"";"";"Au doigt";"";"";"";"Non";"2016";"Oui";"";"";"1";"Seule pratique";"";"Moules";"";"";"Lorsque la météo favorable";"";"";"Oui";"Bouches-du-Rhône";"Fos-sur-mer";"Gratuité des produits | Plaisir : aspect ludique";"Aucune autre pêche"
"2018-06-26-BERR-SEN-001";"2018-06-26_BERR_03_357028";"";"";"Au doigt";"";"Ne Sait Pas";"Non";"Non";"1998";"Oui";"";"Juin | Juil";"3";"Occasionnelle (>5%)";"";"";"";"";"Lorsque la météo favorable";"";"";"Non";"";"";"Qualité des produits";"Du  bord : Ligne"
