"Libellé Sortie";"Code Enquète";"Membre Association";"Nom Association";"Espéce maille";"declaration Connaissance";"Taille déclarée";"connaissance réglementation";"Utilisation outil";"Source outil";"Type d'outil";"Outil Conforme";"Espèce quantité";"Connaissance quota";"Quantité déclarée";"Unite";"Reglementation Quantité";"Espèce période";"Connaissance Période";"Périodes Déclarées";"Connaissance Règlementation Période";"Informé Législation";"Source information législation";"Conseils consommation"
"Arcouest_01/03/2014_Christelle Barth_1";;"Non renseigné";;"Praire";"espèce sans maille";43;"Réponse correcte";"Oui";"Commerce";;;;"Oui";;;;;;;;"Oui";"Médias (journaux, radios, tv)";"Non renseigné"
"Arcouest_01/03/2014_Dominique Rault_1";;"Non renseigné";;"Praire";"espèce sans maille";30;"Réponse incorrecte ou NSP";"Non";"Aucun outil";;;;"Ne sait pas";;;;;;;;"Oui";"Bouche à oreille (autres pêcheurs, entourage, magasins, structures professionnelles …)";"Oui"
"Arcouest_01/03/2014_Dominique Rault_2";;"Non renseigné";;"Praire";"espèce sans maille";30;"Réponse incorrecte ou NSP";"Non";"Aucun outil";;;;"Ne sait pas";;;;;;;;"Oui";"Capitainerie / Club Nautique / Préfecture / Affaires maritimes / Mairies ";"Oui"
"Arcouest_01/03/2014_Franck Delisle_1";;"Non renseigné";;"Praire";"espèce sans maille";;"Réponse incorrecte ou NSP";"Oui";"Campagne de sensibilisation";"Réglette à visuels (Type Vivarmor)";;"Praire";"Oui";24;;;;;;;"Oui";"Annuaire des marées | Bouche à oreille (autres pêcheurs, entourage, magasins, structures professionnelles …) | Médias (journaux, radios, tv)";"Non renseigné"
"Arcouest_01/03/2014_Franck Delisle_2";;"Non renseigné";;"Praire";"espèce sans maille";45;"Réponse incorrecte ou NSP";"Oui";"Artisanal";;;;"Oui";20;;;;;;;"Oui";"Bouche à oreille (autres pêcheurs, entourage, magasins, structures professionnelles …) | Capitainerie / Club Nautique / Préfecture / Affaires maritimes / Mairies ";"Oui"
"Arcouest_01/03/2014_Franck Delisle_3";;"Non renseigné";;;"espèce sans maille";;"Réponse incorrecte ou NSP";"Oui";"Anatomique (phalange, largeur de paume, pouce…)";;;"Coquille Saint-Jacques";"Oui";21;;;;;;;"Oui";"Bouche à oreille (autres pêcheurs, entourage, magasins, structures professionnelles …) | Internet / Applications mobiles";"Non renseigné"
"Arcouest_02/04/2014_Franck Delisle_1";;"Non";;"Etrille";"espèce sans maille";;"Réponse incorrecte ou NSP";"Oui";"Commerce";"Mesure graduée (pied à coulisse ou réglet)";;"Coquille Saint-Jacques";"Oui";30;;"Réponse correcte";;;;;"Oui";"Annuaire des marées";"Non renseigné"
"Arcouest_02/04/2014_Michel Laloi_1";;"Non";;;"espèce sans maille";;;"Non";"Aucun outil";;;;;;;;;;;;"Oui";"Panneau d'information/affichage";"Non renseigné"
"Arcouest_02/04/2014_Olivier Massard_1";;"Non";;;"espèce sans maille";;"Réponse incorrecte ou NSP";"Non";"Aucun outil";;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_02/04/2014_Olivier Massard_2";;"Non";;"Praire";"espèce sans maille";43;"Réponse correcte";"Oui";"Commerce";"Pied à coulisse FNPPSF";;"Praire";"Oui";100;;;;;;;"Oui";"Panneau d'information/affichage | Bouche à oreille (autres pêcheurs, entourage, magasins, structures professionnelles …)";"Non renseigné"
"Arcouest_02/04/2014_Olivier Massard_3";;"Non";;"Praire";"espèce sans maille";42;"Réponse incorrecte ou NSP";"Non";"Aucun outil";;;;"Ne sait pas";;;;;;;;"Oui";"Panneau d'information/affichage | Internet / Applications mobiles";"Oui"
"Arcouest_03/08/2015_Anne Priac&Stephanie Plaga Lemanski_1";;"Non renseigné";;;"espèce sans maille";;"Réponse inférieure";"Non";"Aucun outil";;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_03/08/2015_Anne Priac&Stephanie Plaga Lemanski_10";;"Non renseigné";;;"espèce sans maille";;"Réponse inférieure";"Non";"Aucun outil";;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_03/08/2015_Anne Priac&Stephanie Plaga Lemanski_2";;"Non renseigné";;;"espèce sans maille";;"Réponse inférieure";"Non";"Aucun outil";;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_03/08/2015_Anne Priac&Stephanie Plaga Lemanski_3";;"Non renseigné";;;"espèce sans maille";;"Réponse inférieure";"Non";"Aucun outil";;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_03/08/2015_Anne Priac&Stephanie Plaga Lemanski_4";;"Non renseigné";;;"espèce sans maille";;;"Non";"Aucun outil";;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_03/08/2015_Anne Priac&Stephanie Plaga Lemanski_5";;"Non renseigné";;;"espèce sans maille";;"Réponse inférieure";"Non";"Aucun outil";;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_03/08/2015_Anne Priac&Stephanie Plaga Lemanski_6";;"Non renseigné";;;"espèce sans maille";;;"Non";"Aucun outil";;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_03/08/2015_Anne Priac&Stephanie Plaga Lemanski_7";;"Non renseigné";;;"espèce sans maille";;;"Oui";"Commerce";"Mesure graduée (pied à coulisse ou réglet)";;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_03/08/2015_Anne Priac&Stephanie Plaga Lemanski_8";;"Non renseigné";;;"espèce sans maille";;"Réponse inférieure";"Non";"Aucun outil";;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_03/08/2015_Anne Priac&Stephanie Plaga Lemanski_9";;"Non renseigné";;;"espèce sans maille";;"Réponse inférieure";"Non";"Aucun outil";;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_03/08/2015_Jéremy Alain&Amandine Galli_1";;"Non renseigné";;;"espèce sans maille";;;"Non";"Aucun outil";;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_03/08/2015_Jéremy Alain&Amandine Galli_2";;"Non renseigné";;;"espèce sans maille";;;"Oui";"Campagne de sensibilisation";"Réglette à visuels (Type Vivarmor)";;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_03/08/2015_Jéremy Alain&Amandine Galli_3";;"Non renseigné";;;"espèce sans maille";;"Réponse inférieure";"Oui";"Campagne de sensibilisation";"Autre type de réglette";;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_03/08/2015_Jéremy Alain&Amandine Galli_4";;"Non renseigné";;;"espèce sans maille";;;"Non";"Aucun outil";;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_04/06/2016_Franck Delisle&Denise Garin_1";;"Non renseigné";;"Etrille";"espèce sans maille";65;"Réponse correcte";"Oui";"Artisanal";;;;"Oui";;;;;;;;"Oui";"Campagne de sensibilisation";"Non renseigné"
"Arcouest_04/06/2016_Franck Delisle&Denise Garin_2";;"Non renseigné";;"Praire";"espèce sans maille";43;"Réponse correcte";"Oui";"Campagne de sensibilisation";"Reglette LIFE";;"Praire";"Oui";;;"Réponse correcte";;;;;"Oui";"Professionnels du tourisme";"Non renseigné"
