"ID fiche";"type de suivi";"date sortie";"heure début";"heure fin";"coefficient marée";"heure marée basse";"hauteur basse mer";"période";"libellé campagne";"libellé sortie";"référent sortie";"équipe terrain";"territoire";"code site";"site";"zone";"type protocole";"version protocole";"auteur saisie";"organisme suivi";"couverture nuageuse";"précipitations";"pression atmosphérique";"température";"force du vent";"force du vent en rafale";"direction du vent";"état de la mer";"commentaires"
356727;"Suivi de la fréquentation des pêcheurs";"2018-05-12 00:00:00.0";;;;;;"Week-end ou Jour Férié";"mai-18";"2018-05-12-BERR-FRE-001";"Mathilde Mahé";;"Etang de Berre";"BERR_01";"Jaï_Sud";;"Comptage simple";;"MAHE";"Gestion intégrée, prospective et restauration de l'étang de Berre";"0-25% (Peu ou pas nuageux)";"Pas de précipitation";1016.0;20.0;"3-Petite brise-12 à 19 km/h-Très petites vagues. Déferlement.";"4-Jolie brise-20 à 28 km/h-Petites vagues. Moutons.";"Sud-Est";;
356731;"Suivi de la fréquentation des pêcheurs";"2018-05-12 00:00:00.0";;;;;;"Week-end ou Jour Férié";"mai-18";"2018-05-12-BERR-FRE-003";"Mathilde Mahé";;"Etang de Berre";"BERR_03";"Jaï_Nord";;"Comptage simple";;"MAHE";"Gestion intégrée, prospective et restauration de l'étang de Berre";"0-25% (Peu ou pas nuageux)";"Pas de précipitation";1016.0;20.0;"3-Petite brise-12 à 19 km/h-Très petites vagues. Déferlement.";"4-Jolie brise-20 à 28 km/h-Petites vagues. Moutons.";"Sud-Est";;
356733;"Suivi de la fréquentation des pêcheurs";"2018-05-12 00:00:00.0";;;;;;"Week-end ou Jour Férié";"mai-18";"2018-05-12-BERR-FRE-004";"Mathilde Mahé";;"Etang de Berre";"BERR_02";"Jaï_Centre";;"Comptage simple";;"MAHE";"Gestion intégrée, prospective et restauration de l'étang de Berre";"0-25% (Peu ou pas nuageux)";"Pas de précipitation";1016.0;20.0;"3-Petite brise-12 à 19 km/h-Très petites vagues. Déferlement.";"4-Jolie brise-20 à 28 km/h-Petites vagues. Moutons.";"Sud-Est";;
356883;"Suivi de la fréquentation des pêcheurs";"2018-05-07 00:00:00.0";;;;;;"Semaine";"mai-18";"2018-05-07-BERR-FRE-001";"Mathilde Mahé";;"Etang de Berre";"BERR_03";"Jaï_Nord";;"Comptage simple";;"MAYOT";"Gestion intégrée, prospective et restauration de l'étang de Berre";"0-25% (Peu ou pas nuageux)";"Pas de précipitation";1015.0;19.0;"0-Calme-1 km/h-Mer d'huile";"2-Lègère brise-6 à 11 km/h-Vaguelettes";"Nord";;
356885;"Suivi de la fréquentation des pêcheurs";"2018-05-07 00:00:00.0";;;;;;"Semaine";"mai-18";"2018-05-07-BERR-FRE-003";"Mathilde Mahé";;"Etang de Berre";"BERR_02";"Jaï_Centre";;"Comptage simple";;"MAYOT";"Gestion intégrée, prospective et restauration de l'étang de Berre";"0-25% (Peu ou pas nuageux)";"Pas de précipitation";1015.0;19.0;"0-Calme-1 km/h-Mer d'huile";"2-Lègère brise-6 à 11 km/h-Vaguelettes";"Nord";;
356887;"Suivi de la fréquentation des pêcheurs";"2018-05-07 00:00:00.0";;;;;;"Semaine";"mai-18";"2018-05-07-BERR-FRE-004";"Mathilde Mahé";;"Etang de Berre";"BERR_01";"Jaï_Sud";;"Comptage simple";;"MAYOT";"Gestion intégrée, prospective et restauration de l'étang de Berre";"0-25% (Peu ou pas nuageux)";"Pas de précipitation";1015.0;19.0;"0-Calme-1 km/h-Mer d'huile";"2-Lègère brise-6 à 11 km/h-Vaguelettes";"Nord";;
356889;"Suivi de la fréquentation des pêcheurs";"2017-08-23 00:00:00.0";;;;;;"Vacances";"aou-17";"2017-08-23-BERR-FRE-409";"Mathilde Mahé";;"Etang de Berre";"BERR_13";"Monteau";;"Comptage simple";;"MAYOT";"Gestion intégrée, prospective et restauration de l'étang de Berre";"0-25% (Peu ou pas nuageux)";"Pas de précipitation";1017.0;24.0;"2-Lègère brise-6 à 11 km/h-Vaguelettes";"3-Petite brise-12 à 19 km/h-Très petites vagues. Déferlement.";"Sud-Ouest";;
356891;"Suivi de la fréquentation des pêcheurs";"2017-08-23 00:00:00.0";;;;;;"Vacances";"aou-17";"2017-08-23-BERR-FRE-411";"Mathilde Mahé";;"Etang de Berre";"BERR_14";"Romaniquette";;"Comptage simple";;"MAYOT";"Gestion intégrée, prospective et restauration de l'étang de Berre";"0-25% (Peu ou pas nuageux)";"Pas de précipitation";1017.0;24.0;"2-Lègère brise-6 à 11 km/h-Vaguelettes";"3-Petite brise-12 à 19 km/h-Très petites vagues. Déferlement.";"Sud-Ouest";;
356893;"Suivi de la fréquentation des pêcheurs";"2017-08-23 00:00:00.0";;;;;;"Vacances";"aou-17";"2017-08-23-BERR-FRE-412";"Mathilde Mahé";;"Etang de Berre";"BERR_16";"Ranquet";;"Comptage simple";;"MAYOT";"Gestion intégrée, prospective et restauration de l'étang de Berre";"0-25% (Peu ou pas nuageux)";"Pas de précipitation";1017.0;24.0;"2-Lègère brise-6 à 11 km/h-Vaguelettes";"3-Petite brise-12 à 19 km/h-Très petites vagues. Déferlement.";"Sud-Ouest";;
356895;"Suivi de la fréquentation des pêcheurs";"2017-08-23 00:00:00.0";;;;;;"Vacances";"aou-17";"2017-08-23-BERR-FRE-413";"Mathilde Mahé";;"Etang de Berre";"BERR_17";"Varage";;"Comptage simple";;"MAYOT";"Gestion intégrée, prospective et restauration de l'étang de Berre";"0-25% (Peu ou pas nuageux)";"Pas de précipitation";1017.0;24.0;"2-Lègère brise-6 à 11 km/h-Vaguelettes";"3-Petite brise-12 à 19 km/h-Très petites vagues. Déferlement.";"Sud-Ouest";;
356897;"Suivi de la fréquentation des pêcheurs";"2017-08-23 00:00:00.0";;;;;;"Vacances";"aou-17";"2017-08-23-BERR-FRE-414";"Mathilde Mahé";;"Etang de Berre";"BERR_20";"Massane";;"Comptage simple";;"MAYOT";"Gestion intégrée, prospective et restauration de l'étang de Berre";"0-25% (Peu ou pas nuageux)";"Pas de précipitation";1017.0;24.0;"2-Lègère brise-6 à 11 km/h-Vaguelettes";"3-Petite brise-12 à 19 km/h-Très petites vagues. Déferlement.";"Sud-Ouest";;
356899;"Suivi de la fréquentation des pêcheurs";"2017-08-23 00:00:00.0";;;;;;"Vacances";"aou-17";"2017-08-23-BERR-FRE-415";"Mathilde Mahé";;"Etang de Berre";"BERR_23";"Figuerolles";;"Comptage simple";;"MAYOT";"Gestion intégrée, prospective et restauration de l'étang de Berre";"0-25% (Peu ou pas nuageux)";"Pas de précipitation";1017.0;24.0;"2-Lègère brise-6 à 11 km/h-Vaguelettes";"3-Petite brise-12 à 19 km/h-Très petites vagues. Déferlement.";"Sud-Ouest";;
