"Libellé Sortie";"Code Enquète";"Heure début récolte";"Temps passé récolte";"Temps total Peche";"Nb pêcheurs récolte";"Panier vide";"Conformité maille";" Conformité quantité";"Tri du panier";"Espece";"Poids récolte";"Nb individus";"Volume récolté";"Type évaluation";"Poids maille";"Nb maille";"Volume maille";"Type évaluation maille";"Taille échantillon"
"Arcouest_01/03/2014_Christelle Barth_1";;;45;75;1;"Non";;;;"Praire";100.0;2;;;100.0;;;;
"Arcouest_01/03/2014_Dominique Rault_1";;;150;150;5;"Non";;;;"Praire";600.0;12;;;300.0;;;;
"Arcouest_01/03/2014_Dominique Rault_1";;;150;150;5;"Non";;;;"Palourdes";19.39;1;;;19.39;;;;
"Arcouest_01/03/2014_Dominique Rault_2";;;90;90;1;"Non";;;;"Palourdes";60.0;5;;;19.39;;;;
"Arcouest_01/03/2014_Dominique Rault_2";;;90;90;1;"Non";;;;"Praire";800.0;14;;;400.0;;;;
"Arcouest_01/03/2014_Franck Delisle_1";;;20;30;1;"Oui";;;
"Arcouest_01/03/2014_Franck Delisle_2";;;30;90;1;"Non";;;;"Palourdes";40.0;3;;;;;;;
"Arcouest_01/03/2014_Franck Delisle_2";;;30;90;1;"Non";;;;"Praire";440.0;14;;;111.52;;;;
"Arcouest_01/03/2014_Franck Delisle_3";;;120;120;2;"Oui";;;
"Arcouest_02/04/2014_Franck Delisle_1";;;30;105;2;"Oui";;;
"Arcouest_02/04/2014_Michel Laloi_1";;;30;75;1;"Oui";;;
"Arcouest_02/04/2014_Olivier Massard_1";;;90;120;1;"Non";;;;"Crabe vert d'Europe, crabe enragé";192.74;2;;;;;;;
"Arcouest_02/04/2014_Olivier Massard_1";;;90;120;1;"Non";;;;"Tourteau";;7;;;;;;;
"Arcouest_02/04/2014_Olivier Massard_1";;;90;120;1;"Non";;;;"Praire";27.24;2;;;;;;;
"Arcouest_02/04/2014_Olivier Massard_1";;;90;120;1;"Non";;;;"Huître creuse";0.16746;2;;;130.43;;;;
"Arcouest_02/04/2014_Olivier Massard_1";;;90;120;1;"Non";;;;"Palourdes";42.4;4;;;;;;;
"Arcouest_02/04/2014_Olivier Massard_1";;;90;120;1;"Non";;;;"Coques";10.22;2;;;;;;;
"Arcouest_02/04/2014_Olivier Massard_1";;;90;120;1;"Non";;;;"Etrille";797.5799999999999;7;;;797.5799999999999;;;;
"Arcouest_02/04/2014_Olivier Massard_2";;;15;120;2;"Non";;;;"Patelles";95.5;10;;;;;;;
"Arcouest_02/04/2014_Olivier Massard_3";;;70;150;1;"Non";;;;"Praire";288.0;18;;;288.0;;;;
"Arcouest_02/04/2014_Olivier Massard_3";;;70;150;1;"Non";;;;"Palourdes";252.0;13;;;252.07;;;;
"Arcouest_03/08/2015_Anne Priac&Stephanie Plaga Lemanski_1";;;60;60;1;"Oui";;;
"Arcouest_03/08/2015_Anne Priac&Stephanie Plaga Lemanski_10";;;61;77;3;"Oui";;;
"Arcouest_03/08/2015_Anne Priac&Stephanie Plaga Lemanski_2";;;15;;1;"Non";;;;"Palourdes";29.990000000000002;2;;;19.39;;;;
"Arcouest_03/08/2015_Anne Priac&Stephanie Plaga Lemanski_3";;;60;75;2;"Non";;;;"Crabe vert d'Europe, crabe enragé";385.48;4;;;;;;;
"Arcouest_03/08/2015_Anne Priac&Stephanie Plaga Lemanski_4";;;10;65;1;"Oui";;;
"Arcouest_03/08/2015_Anne Priac&Stephanie Plaga Lemanski_5";;;60;110;1;"Non";;;;"Praire";110.24;6;;;55.76;;;;
"Arcouest_03/08/2015_Anne Priac&Stephanie Plaga Lemanski_5";;;60;110;1;"Non";;;;"Palourdes";10.6;1;;;;;;;
"Arcouest_03/08/2015_Anne Priac&Stephanie Plaga Lemanski_6";;;30;60;1;"Non";;;;"Palourdes";21.2;2;;;;;;;
"Arcouest_03/08/2015_Anne Priac&Stephanie Plaga Lemanski_6";;;30;60;1;"Non";;;;"Praire";373.5;18;;;250.92;;;;
"Arcouest_03/08/2015_Anne Priac&Stephanie Plaga Lemanski_7";;;110;120;1;"Non";;;;"Etrille";797.5799999999999;7;;;797.5799999999999;;;;
"Arcouest_03/08/2015_Anne Priac&Stephanie Plaga Lemanski_7";;;110;120;1;"Non";;;;"Palourdes";290.85;15;;;290.85;;;;
"Arcouest_03/08/2015_Anne Priac&Stephanie Plaga Lemanski_7";;;110;120;1;"Non";;;;"Praire";418.2;15;;;418.2;;;;
"Arcouest_03/08/2015_Anne Priac&Stephanie Plaga Lemanski_8";;;;;5;"Oui";;;
"Arcouest_03/08/2015_Anne Priac&Stephanie Plaga Lemanski_9";;;90;100;1;"Non";;;;"Etrille";2278.8;20;;;2278.8;;;;
"Arcouest_03/08/2015_Jéremy Alain&Amandine Galli_1";;;75;120;2;"Non";;;;"Praire";1381.72;23;;;1300.0;;;;
"Arcouest_03/08/2015_Jéremy Alain&Amandine Galli_1";;;75;120;2;"Non";;;;"Tourteau";;1;;;;;;;
"Arcouest_03/08/2015_Jéremy Alain&Amandine Galli_1";;;75;120;2;"Non";;;;"Huître creuse";0.07406;2;;;;;;;
"Arcouest_03/08/2015_Jéremy Alain&Amandine Galli_2";;;45;105;2;"Non";;;;"Palourdes";59.980000000000004;4;;;38.78;;;;
"Arcouest_03/08/2015_Jéremy Alain&Amandine Galli_2";;;45;105;2;"Non";;;;"Coques";5.11;1;;;;;;;
"Arcouest_03/08/2015_Jéremy Alain&Amandine Galli_2";;;45;105;2;"Non";;;;"Praire";275.6;15;;;139.4;;;;
"Arcouest_03/08/2015_Jéremy Alain&Amandine Galli_3";;;60;120;5;"Non";;;;"Etrille";1630.58;14;;;1595.1599999999999;;;;
"Arcouest_03/08/2015_Jéremy Alain&Amandine Galli_3";;;60;120;5;"Non";;;;"Palourdes";19.39;1;;;19.39;;;;
"Arcouest_03/08/2015_Jéremy Alain&Amandine Galli_4";;;60;90;2;"Non";;;;"Praire";457.78;20;;;362.44;;;;
"Arcouest_03/08/2015_Jéremy Alain&Amandine Galli_4";;;60;90;2;"Non";;;;"Etrille";719.06;6;;;683.64;;;;
"Arcouest_03/08/2015_Jéremy Alain&Amandine Galli_4";;;60;90;2;"Non";;;;"Crabe vert d'Europe, crabe enragé";96.37;1;;;;;;;
"Arcouest_03/08/2015_Jéremy Alain&Amandine Galli_4";;;60;90;2;"Non";;;;"Tourteau";;1;;;;;;;
"Arcouest_03/08/2015_Jéremy Alain&Amandine Galli_4";;;60;90;2;"Non";;;;"Palourdes";68.77;4;;;58.17;;;;
"Arcouest_04/06/2016_Franck Delisle&Denise Garin_1";;;50;95;1;"Oui";;;
"Arcouest_04/06/2016_Franck Delisle&Denise Garin_2";;;75;150;2;"Non";;;;"Palourdes";193.9;10;;;193.9;;;;
"Arcouest_04/06/2016_Franck Delisle&Denise Garin_2";;;75;150;2;"Non";;;;"Etrille";0.68364;6;;;683.64;;;;
