"Libellé Sortie";"Code Enquète";"Membre Association";"Nom Association";"Espéce maille";"declaration Connaissance";"Taille déclarée";"connaissance réglementation";"Utilisation outil";"Source outil";"Type d'outil";"Outil Conforme";"Espèce quantité";"Connaissance quota";"Quantité déclarée";"Unite";"Reglementation Quantité";"Espèce période";"Connaissance Période";"Périodes Déclarées";"Connaissance Règlementation Période";"Informé Législation";"Source information législation";"Conseils consommation"
"2018-05-16-GONB-SEN-001";"2018-05-16_GONB_08C_356326";;;"Palourdes croisées";"Oui";30;"Réponse incorrecte ou NSP";"Oui";"Artisanal";"Artisanal";"Oui";"Palourdes croisées";"Oui";100;"Nb";"Réponse correcte";"Palourdes croisées";"Pas de période";;"Réponse correcte";"Oui";"Internet / Applications mobiles";
"2018-05-16-GONB-SEN-003";"2018-05-16_GONB_08C_356337";;;"Palourdes";"Oui";40;"Réponse correcte";"Oui";"Artisanal";"Marque engin de pêche";"Oui";"Palourdes";"Oui";100;"Nb";"Réponse correcte";"Palourdes";"Pas de période";;"Réponse correcte";"Oui";"Annuaire des marées";
"2018-05-16-GONB-SEN-004";"2018-05-16_GONB_08C_356344";"Non renseigné";;"Palourdes";"Oui";40;"Réponse correcte";"Oui";"Autre type de réglette";"Pied à coulisse FNPPSF";"Oui";;"Oui";100;"Nb";"Réponse correcte";"Palourdes";"Pas de période";;"Réponse correcte";"Oui";"Panneau d'information/affichage | Bouche à oreille (autres pêcheurs, entourage, magasins, structures professionnelles …)";
"2018-05-16-GONB-SEN-005";"2018-05-16_GONB_08C_356352";;;"Palourdes";"Oui";40;"Réponse correcte";"Oui";"Autre type de réglette";"Pied à coulisse FNPPSF";"Oui";"Palourdes";"Oui";100;"Nb";"Réponse correcte";;"Pas de période";;"Réponse correcte";"Oui";"Panneau d'information/affichage | Bouche à oreille (autres pêcheurs, entourage, magasins, structures professionnelles …)";
"2018-05-16-GONB-SEN-006";"2018-05-16_GONB_08C_356359";;;"Palourdes";"Oui";40;"Réponse correcte";"Oui";"Autre type de réglette";"Pied à coulisse FNPPSF";"Oui";"Palourdes";"Oui";100;"Nb";"Réponse correcte";"Palourdes";"Pas de période";;"Réponse correcte";"Oui";"Médias (journaux, radios, tv)";
"2018-05-16-GONB-SEN-007";"2018-05-16_GONB_08C_356365";;;"Palourdes";"Oui";40;"Réponse correcte";"Oui";"Autre type de réglette";"Pied à coulisse FNPPSF";"Oui";"Palourdes";"Oui";100;"Nb";"Réponse correcte";"Palourdes";"Ne sait pas";;"Ne sait pas";"Oui";"Bouche à oreille (autres pêcheurs, entourage, magasins, structures professionnelles …)";
"2018-05-16-GONB-SEN-008";"2018-05-16_GONB_08C_356373";;;"Palourdes";"Oui";40;"Réponse correcte";"Oui";"Autre type de réglette";"Pied à coulisse FNPPSF";"Oui";"Palourdes";"Oui";100;"Nb";"Réponse correcte";"Palourdes";"Pas de période";;"Réponse correcte";"Oui";"Médias (journaux, radios, tv)";
"2018-05-16-GONB-SEN-009";"2018-05-16_GONB_08C_356379";;;"Palourdes";"Oui";40;"Réponse correcte";"Oui";"Campagne de sensibilisation";"Reglette LIFE";"Oui";"Palourdes";"Oui";100;"Nb";"Réponse correcte";"Palourdes";"Pas de période";;"Réponse correcte";"Oui";"Panneau d'information/affichage";
"2018-05-16-GONB-SEN-010";"2018-05-16_GONB_08C_356385";;;"Palourdes";"Oui";40;"Réponse correcte";"Oui mais pas aujourd'hui";;;;"Palourdes";"Oui";100;"Nb";"Réponse correcte";"Palourdes";"Pas de période";;"Réponse correcte";"Oui";"Médias (journaux, radios, tv)";
"2018-05-16-GONB-SEN-011";"2018-05-16_GONB_08C_356391";;;"Palourdes";"Oui";40;"Réponse correcte";"Oui";"Autre type de réglette";"Pied à coulisse FNPPSF";"Oui";"Palourdes";"Oui";100;"Nb";"Réponse correcte";"Palourdes";"Pas de période";;"Réponse correcte";"Oui";"Panneau d'information/affichage | Bouche à oreille (autres pêcheurs, entourage, magasins, structures professionnelles …)";
