"ID fiche";"type de suivi";"date sortie";"heure début";"heure fin";"coefficient marée";"heure marée basse";"hauteur basse mer";"période";"libellé campagne";"libellé sortie";"référent sortie";"équipe terrain";"territoire";"code site";"site";"zone";"type protocole";"version protocole";"auteur saisie";"organisme suivi";"couverture nuageuse";"précipitations";"pression atmosphérique";"température";"force du vent";"force du vent en rafale";"direction du vent";"état de la mer";"commentaires"
356325;"Suivi des enquêtes pêcheurs à pied";"2018-05-16 00:00:00.0";"15:00";"17:00";102;"16:10";;"Semaine";"mai-18";"2018-05-16-GONB-SEN-001";"Florian BARGAT";"Marion ROUS + Florian BARGAT";"Golfe Normand Breton";"GONB_08C";"Gouville-sur-Mer (Le Sénéquet)";;"Enquête complète";"QLittorea simplifié";"BARGAT";"association AVRIL";"75-100% (Très nuageux)";"Pas de précipitation";;;;;;"2-belle-0,1 à 0,5 m";
356336;"Suivi des enquêtes pêcheurs à pied";"2018-05-16 00:00:00.0";"15:00";"17:00";102;"16:10";;"Semaine";"mai-18";"2018-05-16-GONB-SEN-003";"Florian BARGAT";"Marion Rous + Florian BARGAT";"Golfe Normand Breton";"GONB_08C";"Gouville-sur-Mer (Le Sénéquet)";;"Enquête complète";"QLittorea simplifié";"BARGAT";"association AVRIL";"75-100% (Très nuageux)";"Pas de précipitation";;;;;;"2-belle-0,1 à 0,5 m";
356343;"Suivi des enquêtes pêcheurs à pied";"2018-05-16 00:00:00.0";"15:00";"17:00";102;"16:10";;"Semaine";"mai-18";"2018-05-16-GONB-SEN-004";"Florian BARGAT";"Marion Rous + Florian BARGAT";"Golfe Normand Breton";"GONB_08C";"Gouville-sur-Mer (Le Sénéquet)";;"Enquête complète";"QLittorea simplifié";"BARGAT";"association AVRIL";"75-100% (Très nuageux)";"Pas de précipitation";;;;;;"2-belle-0,1 à 0,5 m";
356351;"Suivi des enquêtes pêcheurs à pied";"2018-05-16 00:00:00.0";"15:00";"17:00";102;"16:10";;"Semaine";"mai-18";"2018-05-16-GONB-SEN-005";"Florian BARGAT";"Marion Rous + Florian BARGAT";"Golfe Normand Breton";"GONB_08C";"Gouville-sur-Mer (Le Sénéquet)";;"Enquête complète";"QLittorea simplifié";"BARGAT";"association AVRIL";"75-100% (Très nuageux)";"Pas de précipitation";;;;;;"2-belle-0,1 à 0,5 m";
356358;"Suivi des enquêtes pêcheurs à pied";"2018-05-16 00:00:00.0";"15:00";"17:00";102;"16:10";;"Semaine";"mai-18";"2018-05-16-GONB-SEN-006";"Florian BARGAT";"Marion Rous + Florian BARGAT";"Golfe Normand Breton";"GONB_08C";"Gouville-sur-Mer (Le Sénéquet)";;"Enquête complète";"QLittorea simplifié";"BARGAT";"association AVRIL";"75-100% (Très nuageux)";"Pas de précipitation";;;;;;"2-belle-0,1 à 0,5 m";
356364;"Suivi des enquêtes pêcheurs à pied";"2018-05-16 00:00:00.0";"15:00";"17:00";102;"16:10";;"Semaine";"mai-18";"2018-05-16-GONB-SEN-007";"Florian BARGAT";"Marion Rous + Florian BARGAT";"Golfe Normand Breton";"GONB_08C";"Gouville-sur-Mer (Le Sénéquet)";;"Enquête complète";"QLittorea simplifié";"BARGAT";"association AVRIL";"75-100% (Très nuageux)";"Pas de précipitation";;;;;;"2-belle-0,1 à 0,5 m";
356372;"Suivi des enquêtes pêcheurs à pied";"2018-05-16 00:00:00.0";"15:00";"17:00";102;"16:10";;"Semaine";"mai-18";"2018-05-16-GONB-SEN-008";"Florian BARGAT";"Marion Rous + Florian BARGAT";"Golfe Normand Breton";"GONB_08C";"Gouville-sur-Mer (Le Sénéquet)";;"Enquête complète";"QLittorea simplifié";"BARGAT";"association AVRIL";"75-100% (Très nuageux)";"Pas de précipitation";;;;;;"2-belle-0,1 à 0,5 m";
356378;"Suivi des enquêtes pêcheurs à pied";"2018-05-16 00:00:00.0";"15:00";"17:00";102;"16:10";;"Semaine";"mai-18";"2018-05-16-GONB-SEN-009";"Florian BARGAT";"Marion Rous + Florian BARGAT";"Golfe Normand Breton";"GONB_08C";"Gouville-sur-Mer (Le Sénéquet)";;"Enquête complète";"QLittorea simplifié";"BARGAT";"association AVRIL";"75-100% (Très nuageux)";"Pas de précipitation";;;;;;"2-belle-0,1 à 0,5 m";
356384;"Suivi des enquêtes pêcheurs à pied";"2018-05-16 00:00:00.0";"15:00";"17:00";102;"16:10";;"Semaine";"mai-18";"2018-05-16-GONB-SEN-010";"Florian BARGAT";"Marion Rous + Florian BARGAT";"Golfe Normand Breton";"GONB_08C";"Gouville-sur-Mer (Le Sénéquet)";;"Enquête complète";"QLittorea simplifié";"BARGAT";"association AVRIL";"75-100% (Très nuageux)";"Pas de précipitation";;;;;;"2-belle-0,1 à 0,5 m";
356390;"Suivi des enquêtes pêcheurs à pied";"2018-05-16 00:00:00.0";"15:00";"17:00";102;"16:10";;"Semaine";"mai-18";"2018-05-16-GONB-SEN-011";"Florian BARGAT";"Marion Rous + Florian BARGAT";"Golfe Normand Breton";"GONB_08C";"Gouville-sur-Mer (Le Sénéquet)";;"Enquête complète";"QLittorea simplifié";"BARGAT";"association AVRIL";"75-100% (Très nuageux)";"Pas de précipitation";;;;;;"2-belle-0,1 à 0,5 m";
356396;"Suivi des enquêtes pêcheurs à pied";"2018-05-17 00:00:00.0";;;100;"16:53";;"Semaine";"mai-18";"2018-05-17-GONB-SEN-001";"Florian Bargat";"Marion ROUS + Florian BARGAT";"Golfe Normand Breton";"GONB_06D";"Bouchots de Coudeville plage au bouchots de Saint-Martin-de-Bréhal";;"Enquête complète";"QLittorea simplifié";"BARGAT";"association AVRIL";"0-25% (Peu ou pas nuageux)";"Pas de précipitation";;;;;;"2-belle-0,1 à 0,5 m";
356402;"Suivi des enquêtes pêcheurs à pied";"2018-05-17 00:00:00.0";;"16:53";100;;;"Semaine";"mai-18";"2018-05-17-GONB-SEN-003";"Florian Bargat";"Marion ROUS + Florian BARGAT";"Golfe Normand Breton";"GONB_06D";"Bouchots de Coudeville plage au bouchots de Saint-Martin-de-Bréhal";;"Enquête complète";"QLittorea simplifié";"BARGAT";"association AVRIL";"0-25% (Peu ou pas nuageux)";"Pas de précipitation";;;;;;"2-belle-0,1 à 0,5 m";
356407;"Suivi des enquêtes pêcheurs à pied";"2018-05-17 00:00:00.0";;;100;"16:53";;;"mai-18";"2018-05-17-GONB-SEN-004";"Florian Bargat";"Marion ROUS + Florian BARGAT";"Golfe Normand Breton";"GONB_06D";"Bouchots de Coudeville plage au bouchots de Saint-Martin-de-Bréhal";;"Enquête complète";"QLittorea simplifié";"BARGAT";"association AVRIL";"0-25% (Peu ou pas nuageux)";"Pas de précipitation";;;;;;"2-belle-0,1 à 0,5 m";
356418;"Suivi des enquêtes pêcheurs à pied";"2018-05-17 00:00:00.0";;;100;"16:53";;;"mai-18";"2018-05-17-GONB-SEN-005";"Florian Bargat";"Marion ROUS + Florian BARGAT";"Golfe Normand Breton";"GONB_06D";"Bouchots de Coudeville plage au bouchots de Saint-Martin-de-Bréhal";;"Enquête complète";"QLittorea simplifié";"BARGAT";"association AVRIL";"0-25% (Peu ou pas nuageux)";"Pas de précipitation";;;;;;"2-belle-0,1 à 0,5 m";
