"ID Fiche Terrain";"Libellé Sortie";"ID Fiche Fréquentation";"Libellé Territoire";"Code Site";"Libellé Site";"Heure Comptage";"Nb Total";"Nb Adultes";"Nb Enfants";"Nb Pecheurs Site";"Nb Pecheurs Arrivee";"Nb Pecheurs Départ";"Présence Zone Interdite";"Nb Pecheurs Zone Interdite";"Type Interdiction";"Autres usages";"Commentaires"
356727;"2018-05-12-BERR-FRE-001";356729;"Etang de Berre";"BERR_01";"Jaï_Sud";"10:42";0;;;;;;"Non renseigné";;;"";
356731;"2018-05-12-BERR-FRE-003";356732;"Etang de Berre";"BERR_03";"Jaï_Nord";"11:00";0;;;;;;"Non renseigné";;;"";
356733;"2018-05-12-BERR-FRE-004";356734;"Etang de Berre";"BERR_02";"Jaï_Centre";"10:48";7;;;;;;"Non renseigné";;;"Pêche à pied professionnelle";"3 pêcheurs professionnels
3 braconniers"
356883;"2018-05-07-BERR-FRE-001";356884;"Etang de Berre";"BERR_03";"Jaï_Nord";"09:00";0;;;;;;"Non renseigné";;;"Pêche à pied professionnelle";"3 pêcheurs pro"
356885;"2018-05-07-BERR-FRE-003";356886;"Etang de Berre";"BERR_02";"Jaï_Centre";"09:00";0;;;;;;"Non renseigné";;;"Pêche à pied professionnelle";"9 pêcheurs pro"
356887;"2018-05-07-BERR-FRE-004";356888;"Etang de Berre";"BERR_01";"Jaï_Sud";"09:00";0;;;;;;"Non renseigné";;;"Pêche à pied professionnelle";"13 Pêcheurs pro"
356889;"2017-08-23-BERR-FRE-409";356890;"Etang de Berre";"BERR_13";"Monteau";"09:33";0;;;;;;"Non renseigné";;;"";
356891;"2017-08-23-BERR-FRE-411";356892;"Etang de Berre";"BERR_14";"Romaniquette";"09:36";0;;;;;;"Non renseigné";;;"";
356893;"2017-08-23-BERR-FRE-412";356894;"Etang de Berre";"BERR_16";"Ranquet";"09:57";3;;;;;;"Non renseigné";;;"";
356895;"2017-08-23-BERR-FRE-413";356896;"Etang de Berre";"BERR_17";"Varage";"10:15";1;;;;;;"Non renseigné";;;"";
356897;"2017-08-23-BERR-FRE-414";356898;"Etang de Berre";"BERR_20";"Massane";"10:28";0;;;;;;"Non renseigné";;;"";
356899;"2017-08-23-BERR-FRE-415";356900;"Etang de Berre";"BERR_23";"Figuerolles";"10:47";7;;;;;;"Non renseigné";;;"";
356901;"2017-08-23-BERR-FRE-416";356902;"Etang de Berre";"BERR_20";"Massane";"11:40";5;;;;;;"Non renseigné";;;"";
356903;"2017-08-23-BERR-FRE-417";356904;"Etang de Berre";"BERR_17";"Varage";"11:46";16;;;;;;"Non renseigné";;;"";
356905;"2017-08-23-BERR-FRE-418";356906;"Etang de Berre";"BERR_16";"Ranquet";"11:59";0;;;;;;"Non renseigné";;;"";
356907;"2017-08-23-BERR-FRE-419";356908;"Etang de Berre";"BERR_14";"Romaniquette";"12:15";0;;;;;;"Non renseigné";;;"";
356909;"2017-08-23-BERR-FRE-420";356910;"Etang de Berre";"BERR_13";"Monteau";"12:20";0;;;;;;"Non renseigné";;;"";
356911;"2017-08-23-BERR-FRE-421";356912;"Etang de Berre";"BERR_09";"Champigny";"12:40";0;;;;;;"Non renseigné";;;"";
356913;"2017-08-23-BERR-FRE-422";356914;"Etang de Berre";"BERR_37";"Bouquet";"10:00";0;;;;;;"Non renseigné";;;"Pêche à pied professionnelle";"4 braconnier"
356915;"2018-05-29-BERR-FRE-002";356916;"Etang de Berre";"BERR_03";"Jaï_Nord";"15:00";2;;;;;;"Non renseigné";;;"";
356917;"2018-05-29-BERR-FRE-003";356918;"Etang de Berre";"BERR_02";"Jaï_Centre";"15:00";8;;;;;;"Non renseigné";;;"";
356919;"2018-05-29-BERR-FRE-004";356920;"Etang de Berre";"BERR_01";"Jaï_Sud";"15:00";0;;;;;;"Non renseigné";;;"";
356923;"2018-06-03-BERR-FRE-001";356924;"Etang de Berre";"BERR_03";"Jaï_Nord";"10:02";2;;;;;;"Non renseigné";;;"";"1 pêcheur pro"
356925;"2018-06-05-BERR-FRE-001";356926;"Etang de Berre";"BERR_01";"Jaï_Sud";"09:14";0;;;;;;"Non renseigné";;;"Pêche à pied professionnelle";"10 pêcheurs pro"
356927;"2018-06-05-BERR-FRE-003";356928;"Etang de Berre";"BERR_02";"Jaï_Centre";"09:14";0;;;;;;"Non renseigné";;;"Pêche à pied professionnelle";"5 pêcheurs pro"
356929;"2018-06-05-BERR-FRE-004";356930;"Etang de Berre";"BERR_01";"Jaï_Sud";"10:02";2;;;;;;"Non renseigné";;;"Pêche à pied professionnelle";"6 pêcheurs pro"
356931;"2018-06-26-BERR-FRE-001";356932;"Etang de Berre";"BERR_03";"Jaï_Nord";"10:48";11;;;;;;"Non renseigné";;;"Pêche à pied professionnelle";"3 pêcheurs pro
1 braconnier"
356933;"2018-06-26-BERR-FRE-003";356934;"Etang de Berre";"BERR_01";"Jaï_Sud";"11:15";2;;;;;;"Non renseigné";;;"Pêche à pied professionnelle";"1 pêcheur pro"
356935;"2018-07-02-BERR-FRE-001";356936;"Etang de Berre";"BERR_03";"Jaï_Nord";"10:42";24;;;;;;"Non renseigné";;;"";
356937;"2018-07-02-BERR-FRE-003";356938;"Etang de Berre";"BERR_01";"Jaï_Sud";"11:17";2;;;;;;"Non renseigné";;;"Pêche à pied professionnelle";"2 pêcheur pro"
356939;"2018-07-02-BERR-FRE-004";356940;"Etang de Berre";"BERR_02";"Jaï_Centre";"11:51";21;;;;;;"Non renseigné";;;"Pêche à pied professionnelle";"4 pêcheur pro"
357035;"2018-07-03-BERR-FRE-001";357036;"Etang de Berre";"BERR_01";"Jaï_Sud";"11:30";6;;;;;;"Non renseigné";;;"Pêche à pied professionnelle";"4 pêcheurs pro"
357037;"2018-07-03-BERR-FRE-003";357038;"Etang de Berre";"BERR_02";"Jaï_Centre";"11:40";13;;;;;;"Non renseigné";;;"Pêche à pied professionnelle";"2 pêcheurs pro "
357039;"2018-07-03-BERR-FRE-004";357040;"Etang de Berre";"BERR_03";"Jaï_Nord";"12:20";19;;;;;;"Non renseigné";;;"";
357042;"2018-07-04-BERR-FRE-001";357043;"Etang de Berre";"BERR_01";"Jaï_Sud";"10:03";10;;;;;;"Non renseigné";;;"Pêche à pied professionnelle";"6 pêcheurs pro"
357044;"2018-07-04-BERR-FRE-003";357045;"Etang de Berre";"BERR_02";"Jaï_Centre";"10:45";56;;;;;;"Non renseigné";;;"Pêche à pied professionnelle";"1 pêcheur pro"
357051;"2018-07-05-BERR-FRE-001";357052;"Etang de Berre";"BERR_03";"Jaï_Nord";"14:12";7;;;;;;"Non renseigné";;;"";
357053;"2018-07-05-BERR-FRE-003";357054;"Etang de Berre";"BERR_02";"Jaï_Centre";"14:40";7;;;;;;"Non renseigné";;;"";
357055;"2018-07-05-BERR-FRE-004";357056;"Etang de Berre";"BERR_01";"Jaï_Sud";"15:00";5;;;;;;"Non renseigné";;;"";
357058;"2018-07-04-BERR-FRE-003";357059;"Etang de Berre";"BERR_05";"MarettesMarina";"11:30";0;;;;;;"Non renseigné";;;"";"Comptage seulement de Marette "
357062;"2018-07-06-BERR-FRE-001";357063;"Etang de Berre";"BERR_03";"Jaï_Nord";"10:00";0;;;;;;"Non renseigné";;;"";""
357064;"2018-07-06-BERR-FRE-003";357065;"Etang de Berre";"BERR_02";"Jaï_Centre";"10:17";1;;;;;;"Non renseigné";;;"";
357066;"2018-07-06-BERR-FRE-004";357067;"Etang de Berre";"BERR_01";"Jaï_Sud";"10:45";0;;;;;;"Non renseigné";;;"";
357128;"2018-07-09-BERR-FRE-001";357129;"Etang de Berre";"BERR_03";"Jaï_Nord";"07:10";5;;;;;;"Non renseigné";;;"Pêche à pied professionnelle";"3 pêcheurs professionnels  
Dans les 5 loisirs, 4 étaient probablement des braconniers "
357130;"2018-07-09-BERR-FRE-003";357131;"Etang de Berre";"BERR_02";"Jaï_Centre";"07:35";6;;;;;;"Non renseigné";;;"Pêche à pied professionnelle";"1 pêcheur professionnel"
357132;"2018-07-09-BERR-FRE-004";357133;"Etang de Berre";"BERR_03";"Jaï_Nord";"08:45";5;;;;;;"Non renseigné";;;"Pêche à pied professionnelle";"4 pêcheurs professionnels"
357268;"2018-07-07-BERR-FRE-001";357270;"Etang de Berre";"BERR_01";"Jaï_Sud";"16:25";5;;;;;;"Non renseigné";;;"";
357272;"2018-07-07-BERR-FRE-003";357273;"Etang de Berre";"BERR_02";"Jaï_Centre";"16:39";7;;;;;;"Non renseigné";;;"";
357274;"2018-07-07-BERR-FRE-004";357277;"Etang de Berre";"BERR_03";"Jaï_Nord";"16:53";10;;;;;;"Non renseigné";;;"";
357286;"2018-07-08-BERR-FRE-001";357288;"Etang de Berre";"BERR_01";"Jaï_Sud";"12:04";0;;;;;;"Non renseigné";;;"";
357292;"2018-07-08-BERR-FRE-003";357294;"Etang de Berre";"BERR_02";"Jaï_Centre";"12:15";52;;;;;;"Non renseigné";;;"Pêche à pied professionnelle";"5 braconniers"
357295;"2018-07-08-BERR-FRE-004";357296;"Etang de Berre";"BERR_03";"Jaï_Nord";"12:39";34;;;;;;"Non renseigné";;;"";
357453;"2018-03-29-MORL-FRE-001";357454;"Pays de Morlaix";"MORL_08";"Ile Callot";"11:10";31;31;0;31;0;0;"Non";;;"Conchyliculture";"23 conchyliculteurs"
357455;"2018-04-02-MORL-FRE-001";357456;"Pays de Morlaix";"MORL_08";"Ile Callot";"14:00";100;92;8;95;5;0;"Non";;;"Promeneurs, joggeurs | Autres usages";"7 promeneurs et 2 plongeurs"
357457;"2018-04-29-MORL-FRE-002";357458;"Pays de Morlaix";"MORL_07";"Ilot Sainte Anne";"13:10";34;31;3;33;1;0;"Non";;;"";
357459;"2018-05-01-MORL-FRE-001";357460;"Pays de Morlaix";"MORL_09";"Plouezoch - Barnenez / Ile Sterec";"15:00";48;42;6;37;11;0;"Non";;;"Conchyliculture";"19 conchyliculteurs"
357462;"2018-03-30-LEGD-FRE-001";357464;"Pays de Morlaix";"LEGD_04";"Baie de Goulven";"12:00";4;4;0;4;0;0;"Oui";4;"Sanitaire temporaire";"Promeneurs, joggeurs";"7 promeneurs"
357466;"2018-04-28-LEGD-FRE-001";357467;"Pays de Morlaix";"LEGD_04";"Baie de Goulven";"12:00";25;24;1;22;0;3;"Oui";25;"Sanitaire temporaire";"Promeneurs, joggeurs";"5 promeneurs"
357468;"2018-05-01-MORL-FRE-002";357469;"Pays de Morlaix";"MORL_19";"Locquirec - Fond de la baie";"14:00";49;47;2;49;0;0;"Non";;;"Promeneurs, joggeurs";"3 promeneurs"
357470;"2018-05-02-MORL-FRE-005";357471;"Pays de Morlaix";"MORL_07";"Ilot Sainte Anne";"14:20";46;34;12;45;1;0;"Non";;;"Conchyliculture | Promeneurs, joggeurs";"7 conchyliculteurs + 2 promeneurs"
357472;"2018-05-03-LEGD-FRE-002";357473;"Pays de Morlaix";"LEGD_04";"Baie de Goulven";"15:00";36;27;9;32;3;1;"Oui";36;"Sanitaire temporaire";"Promeneurs, joggeurs";"20 promeneurs"
357474;"2018-05-14-MORL-FRE-004";357475;"Pays de Morlaix";"MORL_07";"Ilot Sainte Anne";"12:10";54;52;2;51;3;0;"Non";;;"Promeneurs, joggeurs";"5 promeneurs"
