"ID Fiche Terrain";"Libellé Sortie";"ID Fiche Fréquentation";"Libellé Territoire";"Code Site";"Libellé Site";"Code Sous Site";"Libellé Sous Site";"Heure Comptage";"Type Activite";"Nb Total";"Nb Adultes";"Nb Enfants";"Autres usages";"Commentaires"
365855;"2018-08-12-EGMP-FRE-079";365902;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_151";"Les Cantines - Les Arros - Les Olives";"EGMP_151_2";"Les Arros";"12:15";"total de pêcheurs à pied de loisir";31;;;"";
365855;"2018-08-12-EGMP-FRE-079";365900;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_151";"Les Cantines - Les Arros - Les Olives";"EGMP_151_1";"Les Cantines";"11:30";"total de pêcheurs à pied de loisir";104;;;"";
365855;"2018-08-12-EGMP-FRE-079";365908;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_151";"Les Cantines - Les Arros - Les Olives";"EGMP_151_3";"Les Olives";"11:55";"total de pêcheurs à pied de loisir";27;;;"";
365924;"2018-08-12-EGMP-FRE-082";365929;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_158";"Maison à pointe de Grave";"EGMP_158_1";"Maison de Grave";"11:40";"total de pêcheurs à pied de loisir";0;;;"";
365924;"2018-08-12-EGMP-FRE-082";365932;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_158";"Maison à pointe de Grave";"EGMP_158_2";"Plage Océane";"12:00";"total de pêcheurs à pied de loisir";11;;;"";
365924;"2018-08-12-EGMP-FRE-082";365931;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_158";"Maison à pointe de Grave";"EGMP_158_3";"Rocher de Saint-Nicolas";"11:30";"total de pêcheurs à pied de loisir";6;;;"";
368033;"2018-09-11-EGMP-FRE-001";368035;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_023-024";"Pointe de l'Aiguillon - Plage de la Batterie";"EGMP_024";"Plage de la Batterie";"10:30";"total de pêcheurs à pied de loisir";64;64;0;"";
369482;"2018-08-13-BRES-FRE-105";369485;"Rade de Brest";"BRES_B";"Lanvéoc jusqu'au pont de l'Aulne";"BRES_B_EN";"Ecole navale à  Lomergat";"13:15";"total de pêcheurs à pied de loisir";0;;;"";
369482;"2018-08-13-BRES-FRE-105";369486;"Rade de Brest";"BRES_B";"Lanvéoc jusqu'au pont de l'Aulne";"BRES_B6";"Hirgars Le Stang";"13:15";"total de pêcheurs à pied de loisir";45;;;"";
369482;"2018-08-13-BRES-FRE-105";369487;"Rade de Brest";"BRES_B";"Lanvéoc jusqu'au pont de l'Aulne";"BRES_B5";"Lomergat";"13:30";"total de pêcheurs à pied de loisir";4;;;"";
369482;"2018-08-13-BRES-FRE-105";369489;"Rade de Brest";"BRES_B";"Lanvéoc jusqu'au pont de l'Aulne";"BRES_B4";"Le Loc'h";"13:30";"total de pêcheurs à pied de loisir";15;;;"";
369482;"2018-08-13-BRES-FRE-105";369492;"Rade de Brest";"BRES_B";"Lanvéoc jusqu'au pont de l'Aulne";"BRES_B1";"Cale Porz Maria > Sillon du pâl";"13:30";"total de pêcheurs à pied de loisir";11;;;"";
369482;"2018-08-13-BRES-FRE-105";369494;"Rade de Brest";"BRES_B";"Lanvéoc jusqu'au pont de l'Aulne";"BRES_B2";"Sillon des Anglais > Cale de Porz Maria";"13:30";"total de pêcheurs à pied de loisir";21;;;"";
371930;"2018-10-10-EPMO-FRE-001";371931;"Estuaires Picards et Mer d'Opale";"EPMO_27";"Le Portel";"EPMO_27_1";"Le Portel_Cap d'Alprech";"07:57";"total de pêcheurs à pied de loisir";173;;;"";"3 vélos
2 pêcheurs au filet "
371930;"2018-10-10-EPMO-FRE-001";371932;"Estuaires Picards et Mer d'Opale";"EPMO_27";"Le Portel";"EPMO_27_1";"Le Portel_Cap d'Alprech";"07:57";"total de pêcheurs à pied de loisir";173;;;"";"3 vélos
2 pêcheurs avec des filets "
372915;"2018-08-13-EPMO-FRE-130";372917;"Estuaires Picards et Mer d'Opale";"EPMO_04";"Authie Fort Mahon";"EPMO_04_1";"Authie Fort Mahon_Mollière sud";;"total de pêcheurs récréatifs de coques";12;;;"";
372918;"2018-08-13-EPMO-FRE-131";372920;"Estuaires Picards et Mer d'Opale";"EPMO_08";"Boulogne-sur-Mer";"EPMO_08_5";"Boulogne-sur-Mer_Digue Nord";;"pêcheurs récréatifs à la canne";2;;;"";
372918;"2018-08-13-EPMO-FRE-131";372921;"Estuaires Picards et Mer d'Opale";"EPMO_08";"Boulogne-sur-Mer";"EPMO_08_1";"Boulogne-sur-Mer_Plage";;"pêcheurs récréatifs de vers à la pompe";8;;;"";
372918;"2018-08-13-EPMO-FRE-131";372922;"Estuaires Picards et Mer d'Opale";"EPMO_08";"Boulogne-sur-Mer";"EPMO_08_4";"Boulogne-sur-Mer_Platier proche crèche";;"total de pêcheurs récréatifs de moules sur rochers total";12;;;"";
372918;"2018-08-13-EPMO-FRE-131";372923;"Estuaires Picards et Mer d'Opale";"EPMO_08";"Boulogne-sur-Mer";"EPMO_08_2";"Boulogne-sur-Mer_Platier quelques rochers";;"total de pêcheurs récréatifs de moules sur rochers total";17;;;"";
372924;"2018-08-13-EPMO-FRE-132";372926;"Estuaires Picards et Mer d'Opale";"EPMO_16";"Cise Onival";"EPMO_16_1";"Cise_Onival_Plage";;"total de pêcheurs récréatifs de coques";2;;;"";
372924;"2018-08-13-EPMO-FRE-132";372927;"Estuaires Picards et Mer d'Opale";"EPMO_16";"Cise Onival";"EPMO_16_2";"Cise_Onival_Platier Ault";;"total de pêcheurs récréatifs de moules total";7;;;"";
372924;"2018-08-13-EPMO-FRE-132";372928;"Estuaires Picards et Mer d'Opale";"EPMO_16";"Cise Onival";"EPMO_16_3";"Cise_Onival_Platier Cise";;"total de pêcheurs récréatifs de moules total";4;;;"";
372931;"2018-08-13-EPMO-FRE-134";372933;"Estuaires Picards et Mer d'Opale";"EPMO_19";"Equihen";"EPMO_19_2";"Equihen_Platier Equihen Nord";;"total de pêcheurs récréatifs de moules total";201;;;"";
372931;"2018-08-13-EPMO-FRE-134";372934;"Estuaires Picards et Mer d'Opale";"EPMO_19";"Equihen";"EPMO_19_3";"Equihen_Platier Equihen Sud";;"total de pêcheurs récréatifs de moules total";3;;;"";
381067;"2018-08-15-EPMO-FRE-002";381071;"Estuaires Picards et Mer d'Opale";"EPMO_32";"Pointe aux oies";"EPMO_32_1";"Pointe aux oies_Plage";;"total de pêcheurs récréatifs de moules total";96;;;"";
381073;"2018-08-13-EPMO-FRE-134";381077;"Estuaires Picards et Mer d'Opale";"EPMO_39";"Wimereux";"EPMO_39_3";"Wimereux_Platier crèche";;"total de pêcheurs récréatifs de moules total";16;;;"";
381073;"2018-08-13-EPMO-FRE-134";381075;"Estuaires Picards et Mer d'Opale";"EPMO_39";"Wimereux";"EPMO_39_5";"Wimereux_Digue";;"total de pêcheurs récréatifs de moules total";2;;;"";
381073;"2018-08-13-EPMO-FRE-134";381078;"Estuaires Picards et Mer d'Opale";"EPMO_39";"Wimereux";"EPMO_39_2";"Wimereux_Platier Ailette";;"total de pêcheurs récréatifs de moules total";16;;;"";
381073;"2018-08-13-EPMO-FRE-134";381079;"Estuaires Picards et Mer d'Opale";"EPMO_39";"Wimereux";"EPMO_39_4";"Wimereux_Platier crèche concession";;"total de pêcheurs récréatifs de moules total";8;;;"";
381073;"2018-08-13-EPMO-FRE-134";381080;"Estuaires Picards et Mer d'Opale";"EPMO_39";"Wimereux";"EPMO_39_6";"Wimereux_Platier Fort de Wimereux";;"total de pêcheurs récréatifs de moules total";53;;;"";
381073;"2018-08-13-EPMO-FRE-134";381076;"Estuaires Picards et Mer d'Opale";"EPMO_39";"Wimereux";"EPMO_39_1";"Wimereux_Plage";;"pêcheurs récréatifs de vers à la  fourche/bêche";6;;;"";
381081;"2018-08-13-EPMO-FRE-136";381084;"Estuaires Picards et Mer d'Opale";"EPMO_31";"Mers les Bains";"EPMO_31_1";"Mers les Bains_Plage";;"pêcheurs récréatifs à la canne";1;;;"";
381081;"2018-08-13-EPMO-FRE-136";381085;"Estuaires Picards et Mer d'Opale";"EPMO_31";"Mers les Bains";"EPMO_31_3";"Mers les Bains_Platier Digues du Tréport";;"total de pêcheurs récréatifs de moules total";15;;;"";
381081;"2018-08-13-EPMO-FRE-136";381086;"Estuaires Picards et Mer d'Opale";"EPMO_31";"Mers les Bains";"EPMO_31_1";"Mers les Bains_Plage";;"pêcheurs récréatifs de vers à la pompe";1;;;"";
381081;"2018-08-13-EPMO-FRE-136";381087;"Estuaires Picards et Mer d'Opale";"EPMO_31";"Mers les Bains";"EPMO_31_2";"Mers les Bains_Platier Cise-Mers";;"total de pêcheurs récréatifs de moules total";16;;;"";
381081;"2018-08-13-EPMO-FRE-136";381083;"Estuaires Picards et Mer d'Opale";"EPMO_31";"Mers les Bains";"EPMO_31_1";"Mers les Bains_Plage";;"total de pêcheurs récréatifs de crevettes grises";6;;;"";
383906;"2018-10-09-EPMO-FRE-006";383909;"Estuaires Picards et Mer d'Opale";"EPMO_27";"Le Portel";"EPMO_27_1";"Le Portel_Cap d'Alprech";;"pêcheurs professionnels de moules";3;;;"";
383906;"2018-10-09-EPMO-FRE-006";383910;"Estuaires Picards et Mer d'Opale";"EPMO_27";"Le Portel";"EPMO_27_4";"Le Portel_Platier Rieu de Cat";;"total de pêcheurs récréatifs de moules total";40;;;"";
383906;"2018-10-09-EPMO-FRE-006";383911;"Estuaires Picards et Mer d'Opale";"EPMO_27";"Le Portel";"EPMO_27_3";"Le Portel_Platier Fort de l'Heurt";;"total de pêcheurs récréatifs de moules total";55;;;"";
383906;"2018-10-09-EPMO-FRE-006";383912;"Estuaires Picards et Mer d'Opale";"EPMO_27";"Le Portel";"EPMO_27_2";"Le Portel_Plage";;"pêcheurs récréatifs de vers à la pompe";10;;;"";
383906;"2018-10-09-EPMO-FRE-006";383908;"Estuaires Picards et Mer d'Opale";"EPMO_27";"Le Portel";"EPMO_27_1";"Le Portel_Cap d'Alprech";;"total de pêcheurs récréatifs de moules total";169;;;"";
383913;"2018-10-09-EPMO-FRE-008";383916;"Estuaires Picards et Mer d'Opale";"EPMO_33";"Portel-Equihen";"EPMO_33_4";"Portel-Equihen_Platier Ningles";;"total de pêcheurs récréatifs de moules total";24;;;"";
