"ID Fiche Terrain";"Libellé Sortie";"ID Fiche Fréquentation";"Libellé Territoire";"Code Habitat";"Libellé Habitat";"Heure Comptage";"Nb Total";"Nb Adultes";"Nb Enfants";"Autres usages";"Commentaires"
243509;"Perharidy_01/02/2014_13:20_Orélie Rosec_4830";243510;"Pays de Morlaix";"MORL_03_CDB";"Perharidy (champ de blocs)";"01:20";14;14;0;"Promeneurs, joggeurs";
244021;"Perharidy_02/03/2014_12:30_Orélie Rosec_4849";244022;"Pays de Morlaix";"MORL_03_CDB";"Perharidy (champ de blocs)";"12:30";42;42;0;"";
244149;"Champeaux_03/03/2014_NC_NC_6810";244150;"Golfe Normand Breton";"GONB_04B_HRM";"Récifs d'hermelles de Champeaux (Plage St Michel à  la cabane Vauban de Champeaux)";;86;;;"";
244243;"Beg Lann_CDB_19/03/2014_12:15_NA_10810";244244;"Golfe du Morbihan";"GDMO_04_CDB";"Beg Lann (champ de blocs)";"12:15";0;;;"";
244249;"Perharidy_19/03/2014_14:15_Florine Even_4859";244250;"Pays de Morlaix";"MORL_03_CDB";"Perharidy (champ de blocs)";"02:15";5;3;2;"Promeneurs, joggeurs";
244277;"Perharidy_29/03/2014_11:10_Florine Even_4866";244278;"Pays de Morlaix";"MORL_03_CDB";"Perharidy (champ de blocs)";"11:10";24;20;4;"Promeneurs, joggeurs";
244321;"Beg Lann_CDB_31/03/2014_12:20_NA_10811";244322;"Golfe du Morbihan";"GDMO_04_CDB";"Beg Lann (champ de blocs)";"12:20";12;;;"";
244345;"Champeaux_01/04/2014_15:10_AAMP_6813";244346;"Golfe Normand Breton";"GONB_04B_HRM";"Récifs d'hermelles de Champeaux (Plage St Michel à  la cabane Vauban de Champeaux)";"03:10";74;;;"";
244347;"Champeaux_01/04/2014_15:30_AAMP_6814";244348;"Golfe Normand Breton";"GONB_04B_HRM";"Récifs d'hermelles de Champeaux (Plage St Michel à  la cabane Vauban de Champeaux)";"03:30";90;;;"";
244385;"Perharidy_04/04/2014_16:10_Florine Even_4872";244386;"Pays de Morlaix";"MORL_03_CDB";"Perharidy (champ de blocs)";"04:10";0;;;"Promeneurs, joggeurs";
244409;"Champeaux_13/04/2014_NC_NC_6816";244410;"Golfe Normand Breton";"GONB_04B_HRM";"Récifs d'hermelles de Champeaux (Plage St Michel à  la cabane Vauban de Champeaux)";;137;;;"";
244415;"Beg Lann_CDB_14/04/2014_12:30_NA_10812";244416;"Golfe du Morbihan";"GDMO_04_CDB";"Beg Lann (champ de blocs)";"12:30";3;;;"";
244421;"Champeaux_14/04/2014_NC_NC_6818";244422;"Golfe Normand Breton";"GONB_04B_HRM";"Récifs d'hermelles de Champeaux (Plage St Michel à  la cabane Vauban de Champeaux)";;34;;;"";
244519;"Champeaux_22/04/2014_NC_NC_6819";244520;"Golfe Normand Breton";"GONB_04B_HRM";"Récifs d'hermelles de Champeaux (Plage St Michel à  la cabane Vauban de Champeaux)";;0;;;"";
244521;"Champeaux_22/04/2014_NC_NC_6820";244522;"Golfe Normand Breton";"GONB_04B_HRM";"Récifs d'hermelles de Champeaux (Plage St Michel à  la cabane Vauban de Champeaux)";;6;;;"";
