"ID Fiche Terrain";"Libellé Sortie";"ID Fiche Fréquentation";"Libellé Territoire";"Code Site";"Libellé Site";"Heure Comptage";"Nb Total";"Nb Adultes";"Nb Enfants";"Nb Pecheurs Site";"Nb Pecheurs Arrivee";"Nb Pecheurs Départ";"Présence Zone Interdite";"Nb Pecheurs Zone Interdite";"Type Interdiction";"Autres usages";"Commentaires"
242965;"GONB_01C_40565_NA_1148";242966;"Golfe Normand Breton";"GONB_01C";"Pointe du Bay à la Pointe du Chevet";;39;39;0;;;;;;;"";
242967;"GONB_01D_40565_NA_1222";242968;"Golfe Normand Breton";"GONB_01D";"Pointe du Chevet à la Charbotière et Ile des Hébihens";;46;46;0;;;;;;;"";
242969;"GONB_01E_40565_NA_1187";242970;"Golfe Normand Breton";"GONB_01E";"La Charbotière à l'Islet (Baie de Lancieux)";;178;;;;;;;;;"";
242985;"GONB_01C_40623_NA_1149";242986;"Golfe Normand Breton";"GONB_01C";"Pointe du Bay à la Pointe du Chevet";"15:10";125;125;0;;;;;;;"";
242987;"GONB_01D_40623_NA_1223";242988;"Golfe Normand Breton";"GONB_01D";"Pointe du Chevet à la Charbotière et Ile des Hébihens";"15:10";216;216;0;;;;;;;"";
242989;"GONB_01E_40623_NA_1188";242990;"Golfe Normand Breton";"GONB_01E";"La Charbotière à l'Islet (Baie de Lancieux)";"15:10";892;;;;;;;;;"";
242999;"GONB_01C_40650_NA_1150";243000;"Golfe Normand Breton";"GONB_01C";"Pointe du Bay à la Pointe du Chevet";"13:20";117;;;;;;;;;"";
243001;"GONB_01D_40650_NA_1224";243002;"Golfe Normand Breton";"GONB_01D";"Pointe du Chevet à la Charbotière et Ile des Hébihens";"13:20";58;;;;;;;;;"";
243003;"GONB_01E_40650_NA_1189";243004;"Golfe Normand Breton";"GONB_01E";"La Charbotière à l'Islet (Baie de Lancieux)";"13:20";260;;;;;;;;;"";
243023;"GONB_01C_40654_NA_1151";243024;"Golfe Normand Breton";"GONB_01C";"Pointe du Bay à la Pointe du Chevet";"16:50";21;21;0;;;;;;;"";
243025;"GONB_01D_40654_NA_1225";243026;"Golfe Normand Breton";"GONB_01D";"Pointe du Chevet à la Charbotière et Ile des Hébihens";"16:50";25;23;2;;;;;;;"";
243027;"GONB_01E_40654_NA_1190";243028;"Golfe Normand Breton";"GONB_01E";"La Charbotière à l'Islet (Baie de Lancieux)";"16:50";62;;;;;;;;;"";
243063;"GONB_01C_40755_NA_1152";243064;"Golfe Normand Breton";"GONB_01C";"Pointe du Bay à la Pointe du Chevet";;98;;;;;;;;;"";
243065;"GONB_01D_40755_NA_1226";243066;"Golfe Normand Breton";"GONB_01D";"Pointe du Chevet à la Charbotière et Ile des Hébihens";;40;;;;;;;;;"";
243067;"GONB_01E_40755_NA_1191";243068;"Golfe Normand Breton";"GONB_01E";"La Charbotière à l'Islet (Baie de Lancieux)";;230;;;;;;;;;"";
243077;"GONB_01C_40757_NA_1153";243078;"Golfe Normand Breton";"GONB_01C";"Pointe du Bay à la Pointe du Chevet";"17:20";133;;;;;;;;;"";
243079;"GONB_01D_40757_NA_1227";243080;"Golfe Normand Breton";"GONB_01D";"Pointe du Chevet à la Charbotière et Ile des Hébihens";"17:20";100;;;;;;;;;"";
243081;"GONB_01E_40757_NA_1192";243082;"Golfe Normand Breton";"GONB_01E";"La Charbotière à l'Islet (Baie de Lancieux)";"17:20";200;;;;;;;;;"";
243105;"GONB_01C_40784_NA_1154";243106;"Golfe Normand Breton";"GONB_01C";"Pointe du Bay à la Pointe du Chevet";"14:45";186;;;;;;;;;"";
243107;"GONB_01D_40784_NA_1228";243108;"Golfe Normand Breton";"GONB_01D";"Pointe du Chevet à la Charbotière et Ile des Hébihens";"14:45";53;;;;;;;;;"";
243109;"GONB_01E_40784_NA_1193";243110;"Golfe Normand Breton";"GONB_01E";"La Charbotière à l'Islet (Baie de Lancieux)";"14:45";446;;;;;;;;;"";
243133;"GONB_01C_40788_NA_1155";243134;"Golfe Normand Breton";"GONB_01C";"Pointe du Bay à la Pointe du Chevet";"18:35";30;;;;;;;;;"";
243135;"GONB_01D_40788_NA_1229";243136;"Golfe Normand Breton";"GONB_01D";"Pointe du Chevet à la Charbotière et Ile des Hébihens";"18:35";5;;;;;;;;;"";
243137;"GONB_01E_40788_NA_1194";243138;"Golfe Normand Breton";"GONB_01E";"La Charbotière à l'Islet (Baie de Lancieux)";"18:35";40;;;;;;;;;"";
243143;"GONB_01C_40812_NA_1156";243144;"Golfe Normand Breton";"GONB_01C";"Pointe du Bay à la Pointe du Chevet";"14:25";15;;;;;;;;;"";
243145;"GONB_01D_40812_NA_1230";243146;"Golfe Normand Breton";"GONB_01D";"Pointe du Chevet à la Charbotière et Ile des Hébihens";"14:25";5;;;;;;;;;"";
243147;"GONB_01E_40812_NA_1195";243148;"Golfe Normand Breton";"GONB_01E";"La Charbotière à l'Islet (Baie de Lancieux)";"14:25";20;;;;;;;;;"";
243149;"GONB_01C_40813_NA_1157";243150;"Golfe Normand Breton";"GONB_01C";"Pointe du Bay à la Pointe du Chevet";"14:25";138;;;;;;;;;"";
243151;"GONB_01D_40813_NA_1231";243152;"Golfe Normand Breton";"GONB_01D";"Pointe du Chevet à la Charbotière et Ile des Hébihens";"14:25";180;;;;;;;;;"";
243153;"GONB_01E_40813_NA_1196";243154;"Golfe Normand Breton";"GONB_01E";"La Charbotière à l'Islet (Baie de Lancieux)";"14:25";398;;;;;;;;;"";
243177;"GONB_01C_40842_NA_1158";243178;"Golfe Normand Breton";"GONB_01C";"Pointe du Bay à la Pointe du Chevet";"13:45";54;;;;;;;;;"";
243179;"GONB_01D_40842_NA_1232";243180;"Golfe Normand Breton";"GONB_01D";"Pointe du Chevet à la Charbotière et Ile des Hébihens";"13:45";20;;;;;;;;;"";
243181;"GONB_01E_40842_NA_1197";243182;"Golfe Normand Breton";"GONB_01E";"La Charbotière à l'Islet (Baie de Lancieux)";"13:45";116;;;;;;;;;"";
243203;"GONB_01C_40872_NA_1159";243204;"Golfe Normand Breton";"GONB_01C";"Pointe du Bay à la Pointe du Chevet";"13:15";44;;;;;;;;;"";
243205;"GONB_01D_40872_NA_1233";243206;"Golfe Normand Breton";"GONB_01D";"Pointe du Chevet à la Charbotière et Ile des Hébihens";"13:15";8;;;;;;;;;"";
243207;"GONB_01E_40872_NA_1198";243208;"Golfe Normand Breton";"GONB_01E";"La Charbotière à l'Islet (Baie de Lancieux)";"13:15";82;;;;;;;;;"";
243221;"GONB_01C_41093_NA_1160";243222;"Golfe Normand Breton";"GONB_01C";"Pointe du Bay à la Pointe du Chevet";"13:15";13;;;;;;;;;"";
243223;"GONB_01D_41093_NA_1234";243224;"Golfe Normand Breton";"GONB_01D";"Pointe du Chevet à la Charbotière et Ile des Hébihens";"13:15";8;;;;;;;;;"";
243225;"GONB_01E_41093_NA_1199";243226;"Golfe Normand Breton";"GONB_01E";"La Charbotière à l'Islet (Baie de Lancieux)";"13:15";20;;;;;;;;;"";
243241;"GONB_01C_41123_NA_1161";243242;"Golfe Normand Breton";"GONB_01C";"Pointe du Bay à la Pointe du Chevet";"14:50";101;;;;;;;;;"";
243243;"GONB_01D_41123_NA_1235";243244;"Golfe Normand Breton";"GONB_01D";"Pointe du Chevet à la Charbotière et Ile des Hébihens";"14:50";66;;;;;;;;;"";
243245;"GONB_01E_41123_NA_1200";243246;"Golfe Normand Breton";"GONB_01E";"La Charbotière à l'Islet (Baie de Lancieux)";"14:50";208;;;;;;;;;"";
243279;"GONB_01C_41171_NA_1162";243280;"Golfe Normand Breton";"GONB_01C";"Pointe du Bay à la Pointe du Chevet";"16:40";116;;;;;;;;;"";
243281;"GONB_01D_41171_NA_1236";243282;"Golfe Normand Breton";"GONB_01D";"Pointe du Chevet à la Charbotière et Ile des Hébihens";"16:40";36;;;;;;;;;"";
243283;"GONB_01E_41171_NA_1201";243284;"Golfe Normand Breton";"GONB_01E";"La Charbotière à l'Islet (Baie de Lancieux)";"16:40";290;;;;;;;;;"";
243295;"GONB_01C_41199_NA_1163";243296;"Golfe Normand Breton";"GONB_01C";"Pointe du Bay à la Pointe du Chevet";"15:35";110;;;;;;;;;"";
243297;"GONB_01D_41199_NA_1237";243298;"Golfe Normand Breton";"GONB_01D";"Pointe du Chevet à la Charbotière et Ile des Hébihens";"15:35";113;;;;;;;;;"";
243299;"GONB_01E_41199_NA_1202";243300;"Golfe Normand Breton";"GONB_01E";"La Charbotière à l'Islet (Baie de Lancieux)";"15:35";328;;;;;;;;;"";
243325;"Anse de la Republique_22/08/2013_NA_Daviaud_4168";243326;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_002";"Anse de la République";;83;;;;;;;;;"";
243327;"ARMO_036_41508_NA_36";243328;"Côtes d'Armor";"ARMO_036";"Port d'Erquy";;26;;;;;;;;;"";
243329;"ARMO_037_41508_NA_37";243330;"Côtes d'Armor";"ARMO_037";"Pointe de la Houssaye";;18;;;;;;;;;"";
243331;"ARMO_039_41508_NA_38";243332;"Côtes d'Armor";"ARMO_039";"Rochers de St-Pabu";;80;;;;;;;;;"";
243333;"ARMO_040_41508_NA_39";243334;"Côtes d'Armor";"ARMO_040";"Ville Berneuf";;0;;;;;;;;;"";
243337;"ARMO_046_41508_NA_41";243338;"Côtes d'Armor";"ARMO_046";"Dahouët";;30;;;;;;;;;"";
243339;"ARMO_048_41508_NA_42";243340;"Côtes d'Armor";"ARMO_048";"Jospinet/Cotentin";;80;;;;;;;;;"";
243349;"ARMO_070_41508_NA_47";243350;"Côtes d'Armor";"ARMO_070";"Le Palus";;59;;;;;;;;;"";
243351;"ARMO_071_41508_NA_48";243352;"Côtes d'Armor";"ARMO_071";"Beg-Hastel";;3;;;;;;;;;"";
243353;"ARMO_072_41508_NA_49";243354;"Côtes d'Armor";"ARMO_072";"Gwinn Zegal";;62;;;;;;;;;"";
