"ID Fiche Terrain";"Libellé Sortie";"ID Fiche Fréquentation";"Libellé Territoire";"Code Site";"Libellé Site";"Code Sous Site";"Libellé Sous Site";"Heure Comptage";"Type Activite";"Nb Total";"Nb Adultes";"Nb Enfants";"Autres usages";"Commentaires"
242961;"ARMO_042_40563_NA_1026";242962;"Côtes d'Armor";"ARMO_042-043";"Piégu / Verdelet";"ARMO_042";"Piégu";;;3;3;0;"";
242963;"ARMO_043_40563_NA_1091";242964;"Côtes d'Armor";"ARMO_042-043";"Piégu / Verdelet";"ARMO_043";"Verdelet";;;7;7;0;"";
242971;"ARMO_042_40620_NA_1027";242972;"Côtes d'Armor";"ARMO_042-043";"Piégu / Verdelet";"ARMO_042";"Piégu";"12:15";;6;6;0;"";
242973;"ARMO_043_40620_NA_1092";242974;"Côtes d'Armor";"ARMO_042-043";"Piégu / Verdelet";"ARMO_043";"Verdelet";"12:15";;24;24;0;"";
242975;"ARMO_078_40622_NA_972";242976;"Côtes d'Armor";"ARMO_078-082-153";"Port Lazo / Pointe de Bilfot";"ARMO_078";"Pointe de Bilfot";"13:23";;97;90;7;"";
242977;"ARMO_082_40622_NA_943";242978;"Côtes d'Armor";"ARMO_078-082-153";"Port Lazo / Pointe de Bilfot";"ARMO_082";"Port Lazo - parcs à  huîtres";"13:23";;30;24;6;"";
242979;"ARMO_136_40622_NA_881";242980;"Côtes d'Armor";"ARMO_136-137-138";"Goaz Trez / Toëno";"ARMO_136";"Toëno";"13:00";;0;;;"";
242981;"ARMO_138_40622_NA_859";242982;"Côtes d'Armor";"ARMO_136-137-138";"Goaz Trez / Toëno";"ARMO_138";"Goaz Trez";"13:00";;0;;;"";
242983;"ARMO_153_40622_NA_1001";242984;"Côtes d'Armor";"ARMO_078-082-153";"Port Lazo / Pointe de Bilfot";"ARMO_153";"Port-Lazo - banc de praires, La Chèvre";"13:23";;309;298;11;"";
242991;"ARMO_042_40624_NA_1028";242992;"Côtes d'Armor";"ARMO_042-043";"Piégu / Verdelet";"ARMO_042";"Piégu";"15:40";;30;30;0;"";
242993;"ARMO_043_40624_NA_1093";242994;"Côtes d'Armor";"ARMO_042-043";"Piégu / Verdelet";"ARMO_043";"Verdelet";"15:40";;68;68;0;"";
242995;"ARMO_042_40649_NA_1029";242996;"Côtes d'Armor";"ARMO_042-043";"Piégu / Verdelet";"ARMO_042";"Piégu";;;17;16;1;"";
242997;"ARMO_043_40649_NA_1094";242998;"Côtes d'Armor";"ARMO_042-043";"Piégu / Verdelet";"ARMO_043";"Verdelet";;;25;22;3;"";
243005;"ARMO_042_40651_NA_1030";243006;"Côtes d'Armor";"ARMO_042-043";"Piégu / Verdelet";"ARMO_042";"Piégu";"14:10";;60;;;"";
243007;"ARMO_043_40651_NA_1095";243008;"Côtes d'Armor";"ARMO_042-043";"Piégu / Verdelet";"ARMO_043";"Verdelet";"14:10";;270;;;"";
243009;"ARMO_078_40652_NA_973";243010;"Côtes d'Armor";"ARMO_078-082-153";"Port Lazo / Pointe de Bilfot";"ARMO_078";"Pointe de Bilfot";;;43;41;2;"";
243011;"ARMO_082_40652_NA_944";243012;"Côtes d'Armor";"ARMO_078-082-153";"Port Lazo / Pointe de Bilfot";"ARMO_082";"Port Lazo - parcs à  huîtres";;;3;3;0;"";
243013;"ARMO_153_40652_NA_1002";243014;"Côtes d'Armor";"ARMO_078-082-153";"Port Lazo / Pointe de Bilfot";"ARMO_153";"Port-Lazo - banc de praires, La Chèvre";;;110;100;10;"";
243015;"ARMO_042_40653_NA_1031";243016;"Côtes d'Armor";"ARMO_042-043";"Piégu / Verdelet";"ARMO_042";"Piégu";"16:04";;32;28;4;"";
243017;"ARMO_043_40653_NA_1096";243018;"Côtes d'Armor";"ARMO_042-043";"Piégu / Verdelet";"ARMO_043";"Verdelet";"16:04";;68;55;13;"";
243019;"ARMO_136_40653_NA_882";243020;"Côtes d'Armor";"ARMO_136-137-138";"Goaz Trez / Toëno";"ARMO_136";"Toëno";;;50;45;5;"";
243021;"ARMO_138_40653_NA_860";243022;"Côtes d'Armor";"ARMO_136-137-138";"Goaz Trez / Toëno";"ARMO_138";"Goaz Trez";;;190;166;24;"";
243029;"ARMO_042_40679_NA_1032";243030;"Côtes d'Armor";"ARMO_042-043";"Piégu / Verdelet";"ARMO_042";"Piégu";;;5;5;0;"";
243031;"ARMO_043_40679_NA_1097";243032;"Côtes d'Armor";"ARMO_042-043";"Piégu / Verdelet";"ARMO_043";"Verdelet";;;8;8;0;"";
243033;"ARMO_042_40680_NA_1033";243034;"Côtes d'Armor";"ARMO_042-043";"Piégu / Verdelet";"ARMO_042";"Piégu";"14:05";;54;54;0;"";
243035;"ARMO_043_40680_NA_1098";243036;"Côtes d'Armor";"ARMO_042-043";"Piégu / Verdelet";"ARMO_043";"Verdelet";"14:05";;35;35;0;"";
243037;"ARMO_078_40681_NA_974";243038;"Côtes d'Armor";"ARMO_078-082-153";"Port Lazo / Pointe de Bilfot";"ARMO_078";"Pointe de Bilfot";"14:07";;21;20;1;"";
243039;"ARMO_082_40681_NA_945";243040;"Côtes d'Armor";"ARMO_078-082-153";"Port Lazo / Pointe de Bilfot";"ARMO_082";"Port Lazo - parcs à  huîtres";"14:07";;2;2;0;"";
243041;"ARMO_136_40681_NA_883";243042;"Côtes d'Armor";"ARMO_136-137-138";"Goaz Trez / Toëno";"ARMO_136";"Toëno";"14:15";;1;1;0;"";
243043;"ARMO_138_40681_NA_861";243044;"Côtes d'Armor";"ARMO_136-137-138";"Goaz Trez / Toëno";"ARMO_138";"Goaz Trez";"14:15";;29;29;0;"";
243045;"ARMO_153_40681_NA_1003";243046;"Côtes d'Armor";"ARMO_078-082-153";"Port Lazo / Pointe de Bilfot";"ARMO_153";"Port-Lazo - banc de praires, La Chèvre";"14:07";;22;22;0;"";
243047;"ARMO_042_40682_NA_1034";243048;"Côtes d'Armor";"ARMO_042-043";"Piégu / Verdelet";"ARMO_042";"Piégu";;;15;15;0;"";
243049;"ARMO_043_40682_NA_1099";243050;"Côtes d'Armor";"ARMO_042-043";"Piégu / Verdelet";"ARMO_043";"Verdelet";;;30;30;0;"";
243051;"ARMO_042_40740_NA_1035";243052;"Côtes d'Armor";"ARMO_042-043";"Piégu / Verdelet";"ARMO_042";"Piégu";;;20;;;"";
243053;"ARMO_043_40740_NA_1100";243054;"Côtes d'Armor";"ARMO_042-043";"Piégu / Verdelet";"ARMO_043";"Verdelet";;;0;;;"";
243055;"ARMO_042_40741_NA_1036";243056;"Côtes d'Armor";"ARMO_042-043";"Piégu / Verdelet";"ARMO_042";"Piégu";;;20;;;"";
243057;"ARMO_043_40741_NA_1101";243058;"Côtes d'Armor";"ARMO_042-043";"Piégu / Verdelet";"ARMO_043";"Verdelet";;;0;;;"";
243059;"ARMO_042_40755_NA_1037";243060;"Côtes d'Armor";"ARMO_042-043";"Piégu / Verdelet";"ARMO_042";"Piégu";"14:40";;38;22;16;"";
243061;"ARMO_043_40755_NA_1102";243062;"Côtes d'Armor";"ARMO_042-043";"Piégu / Verdelet";"ARMO_043";"Verdelet";"14:40";;60;;;"";
243069;"ARMO_042_40756_NA_1038";243070;"Côtes d'Armor";"ARMO_042-043";"Piégu / Verdelet";"ARMO_042";"Piégu";;;130;;;"";
243071;"ARMO_043_40756_NA_1103";243072;"Côtes d'Armor";"ARMO_042-043";"Piégu / Verdelet";"ARMO_043";"Verdelet";;;290;;;"";
243073;"ARMO_136_40757_NA_884";243074;"Côtes d'Armor";"ARMO_136-137-138";"Goaz Trez / Toëno";"ARMO_136";"Toëno";"15:05";;300;;;"";
243075;"ARMO_138_40757_NA_862";243076;"Côtes d'Armor";"ARMO_136-137-138";"Goaz Trez / Toëno";"ARMO_138";"Goaz Trez";"15:05";;400;;;"";
243083;"ARMO_042_40758_NA_1039";243084;"Côtes d'Armor";"ARMO_042-043";"Piégu / Verdelet";"ARMO_042";"Piégu";;;23;16;7;"";
243085;"ARMO_043_40758_NA_1104";243086;"Côtes d'Armor";"ARMO_042-043";"Piégu / Verdelet";"ARMO_043";"Verdelet";;;95;67;28;"";
243087;"ARMO_078_40758_NA_975";243088;"Côtes d'Armor";"ARMO_078-082-153";"Port Lazo / Pointe de Bilfot";"ARMO_078";"Pointe de Bilfot";"16:20";;54;33;21;"";
243089;"ARMO_082_40758_NA_946";243090;"Côtes d'Armor";"ARMO_078-082-153";"Port Lazo / Pointe de Bilfot";"ARMO_082";"Port Lazo - parcs à  huîtres";"16:20";;0;0;0;"";
243091;"ARMO_153_40758_NA_1004";243092;"Côtes d'Armor";"ARMO_078-082-153";"Port Lazo / Pointe de Bilfot";"ARMO_153";"Port-Lazo - banc de praires, La Chèvre";"16:20";;15;12;3;"";
243093;"ARMO_042_40759_NA_1040";243094;"Côtes d'Armor";"ARMO_042-043";"Piégu / Verdelet";"ARMO_042";"Piégu";;;3;;;"";
243095;"ARMO_043_40759_NA_1105";243096;"Côtes d'Armor";"ARMO_042-043";"Piégu / Verdelet";"ARMO_043";"Verdelet";;;3;;;"";
243097;"ARMO_042_40783_NA_1041";243098;"Côtes d'Armor";"ARMO_042-043";"Piégu / Verdelet";"ARMO_042";"Piégu";;;7;7;0;"";
243099;"ARMO_043_40783_NA_1106";243100;"Côtes d'Armor";"ARMO_042-043";"Piégu / Verdelet";"ARMO_043";"Verdelet";;;7;7;0;"";
243101;"ARMO_042_40784_NA_1042";243102;"Côtes d'Armor";"ARMO_042-043";"Piégu / Verdelet";"ARMO_042";"Piégu";"15:27";;15;15;0;"";
243103;"ARMO_043_40784_NA_1107";243104;"Côtes d'Armor";"ARMO_042-043";"Piégu / Verdelet";"ARMO_043";"Verdelet";"15:27";;88;88;0;"";
243111;"ARMO_078_40785_NA_976";243112;"Côtes d'Armor";"ARMO_078-082-153";"Port Lazo / Pointe de Bilfot";"ARMO_078";"Pointe de Bilfot";;;82;82;0;"";
243113;"ARMO_082_40785_NA_947";243114;"Côtes d'Armor";"ARMO_078-082-153";"Port Lazo / Pointe de Bilfot";"ARMO_082";"Port Lazo - parcs à  huîtres";;;0;0;0;"";
243115;"ARMO_136_40785_NA_885";243116;"Côtes d'Armor";"ARMO_136-137-138";"Goaz Trez / Toëno";"ARMO_136";"Toëno";"14:40";;85;76;9;"";
243117;"ARMO_138_40785_NA_863";243118;"Côtes d'Armor";"ARMO_136-137-138";"Goaz Trez / Toëno";"ARMO_138";"Goaz Trez";"14:40";;368;323;45;"";
243119;"ARMO_153_40785_NA_1005";243120;"Côtes d'Armor";"ARMO_078-082-153";"Port Lazo / Pointe de Bilfot";"ARMO_153";"Port-Lazo - banc de praires, La Chèvre";;;149;149;0;"";
243121;"ARMO_042_40786_NA_1043";243122;"Côtes d'Armor";"ARMO_042-043";"Piégu / Verdelet";"ARMO_042";"Piégu";;;52;;;"";
243123;"ARMO_043_40786_NA_1108";243124;"Côtes d'Armor";"ARMO_042-043";"Piégu / Verdelet";"ARMO_043";"Verdelet";;;363;;;"";
243125;"ARMO_136_40787_NA_886";243126;"Côtes d'Armor";"ARMO_136-137-138";"Goaz Trez / Toëno";"ARMO_136";"Toëno";"15:45";;41;;;"";
