Table;Variable;Enquête complète_LifePAP;Enquête complète_NA;Enquête complète_QLittorea complet;Enquête complète_QLittorea intermédiaire;Enquête complète_QLittorea simplifié;Enquête sensibilisation_LifePAP;Enquête sensibilisation_NA;Enquête sensibilisation_QLittorea complet;Enquête sensibilisation_QLittorea intermédiaire;Enquête sensibilisation_QLittorea simplifié;NA_LifePAP;NA_NA;NA_QLittorea complet;NA_QLittorea intermédiaire;NA_QLittorea simplifié
connPeche;Code Enquète; 97,74208936;NA;  0,0000000;  0,0000000;  0,00000000;100,0000000;NA;  0,00000000;NA;NA;NA;NA;NA;NA;NA
connPeche;Connaissance Période; 97,83749404;NA;  7,0821530;  2,0632737;  2,02474691;100,0000000;NA; 99,82399531;NA;NA;NA;NA;NA;NA;NA
connPeche;Connaissance quota; 17,37955160;NA;  4,1076487;  0,5502063;  1,46231721;100,0000000;NA; 99,82399531;NA;NA;NA;NA;NA;NA;NA
connPeche;connaissance réglementation; 15,02623629;NA; 18,9801700; 19,3947730;  4,27446569;100,0000000;NA; 99,82399531;NA;NA;NA;NA;NA;NA;NA
connPeche;Connaissance Règlementation Période; 98,04420417;NA; 25,7790368;  4,2640990;  4,83689539;100,0000000;NA; 99,85332942;NA;NA;NA;NA;NA;NA;NA
connPeche;Conseils consommation;  0,76323740;NA; 17,5637394; 85,0068776; 55,34308211;100,0000000;NA; 99,97066588;NA;NA;NA;NA;NA;NA;NA
connPeche;declaration Connaissance;  0,04770234;NA;  3,2577904;  0,6877579;  1,01237345;100,0000000;NA; 99,82399531;NA;NA;NA;NA;NA;NA;NA
connPeche;Espéce maille; 47,47972651;NA;  8,7818697;  2,3383769;  2,02474691;100,0000000;NA; 99,85332942;NA;NA;NA;NA;NA;NA;NA
connPeche;Espèce période; 98,47352520;NA; 22,3796034; 13,0674003; 20,13498313;100,0000000;NA; 99,88266354;NA;NA;NA;NA;NA;NA;NA
connPeche;Espèce quantité; 60,82048020;NA; 15,0141643;  2,7510316;  3,03712036;100,0000000;NA; 99,85332942;NA;NA;NA;NA;NA;NA;NA
connPeche;ID Fiche;  0,00000000;NA;  0,0000000;  0,0000000;  0,00000000;  0,0000000;NA;  0,00000000;NA;NA;NA;NA;NA;NA;NA
connPeche;Informé Législation;  0,34981714;NA; 24,5042493; 48,9683631;  5,84926884;100,0000000;NA; 99,82399531;NA;NA;NA;NA;NA;NA;NA
connPeche;Libellé Sortie;  0,00000000;NA;  0,0000000;  0,0000000;  0,00000000;  0,0000000;NA;  0,00000000;NA;NA;NA;NA;NA;NA;NA
connPeche;libelle_sortie;  0,00000000;NA;  0,0000000;  0,0000000;  0,00000000;  0,0000000;NA;  0,00000000;NA;NA;NA;NA;NA;NA;NA
connPeche;Membre Association;  0,39751948;NA;  3,9660057; 84,0440165; 56,80539933;100,0000000;NA; 99,91199765;NA;NA;NA;NA;NA;NA;NA
connPeche;Nom Association; 97,86929560;NA; 93,9093484; 99,7248968; 98,87514061;100,0000000;NA;100,00000000;NA;NA;NA;NA;NA;NA;NA
connPeche;Outil Conforme; 98,44172364;NA; 40,6515581; 57,9092160; 53,88076490; 66,2497916;NA; 59,69492520;NA;NA;NA;NA;NA;NA;NA
connPeche;Périodes Déclarées; 99,74558753;NA; 88,8101983; 90,9215956; 87,28908886;100,0000000;NA;100,00000000;NA;NA;NA;NA;NA;NA;NA
connPeche;Quantité déclarée; 75,81491493;NA; 54,8158640; 49,3810179; 44,88188976;100,0000000;NA; 99,94133177;NA;NA;NA;NA;NA;NA;NA
connPeche;Reglementation Quantité; 28,01717284;NA; 22,5212465;  2,6134801;  1,46231721;100,0000000;NA; 99,85332942;NA;NA;NA;NA;NA;NA;NA
connPeche;Source information législation; 43,23421848;NA; 16,5722380;  6,1898212; 19,91001125;100,0000000;NA; 99,82399531;NA;NA;NA;NA;NA;NA;NA
connPeche;Source outil; 15,56686278;NA; 50,5665722; 58,4594223; 17,43532058; 84,1587460;NA; 64,76972719;NA;NA;NA;NA;NA;NA;NA
connPeche;Taille déclarée; 56,30465893;NA; 31,5864023; 35,2132050; 32,39595051;100,0000000;NA; 99,91199765;NA;NA;NA;NA;NA;NA;NA
connPeche;Type d'outil; 35,42693592;NA; 56,3739377; 58,4594223; 20,80989876;100,0000000;NA; 64,35904957;NA;NA;NA;NA;NA;NA;NA
connPeche;Unite; 99,01415169;NA; 55,9490085; 50,3438790; 44,54443195;100,0000000;NA; 99,94133177;NA;NA;NA;NA;NA;NA;NA
connPeche;Utilisation outil; 20,38479886;NA;  3,5410765;  1,9257221;  0,22497188;  8,5376021;NA;  0,20533881;NA;NA;NA;NA;NA;NA;NA
detailPeche;Accueil; 26,45038168;NA; 15,2811736; 18,4431138;  0,35650624; 97,9989995;NA;  0,44078754;NA;NA;NA;NA;NA;NA;NA
detailPeche;Annee Naissance - Autre membre; 54,60559796;NA; 60,6356968; 55,8083832; 50,35650624;100,0000000;NA; 99,85307082;NA;NA;NA;NA;NA;NA;NA
detailPeche;Annee Naissance - Pécheur; 13,52417303;NA;  5,6234719;  5,0299401;  2,67379679;100,0000000;NA; 99,76491331;NA;NA;NA;NA;NA;NA;NA
detailPeche;Code Enquète; 97,63358779;NA;  0,0000000;  0,0000000;  0,00000000;100,0000000;NA;  0,00000000;NA;NA;NA;NA;NA;NA;NA
detailPeche;Commune résidence; 21,90839695;NA; 12,8361858;  7,1856287;  7,75401070;100,0000000;NA; 97,14957391;NA;NA;NA;NA;NA;NA;NA
detailPeche;Commune séjour; 61,33587786;NA; 73,7163814; 78,2035928; 75,84670232;100,0000000;NA; 99,67675580;NA;NA;NA;NA;NA;NA;NA
detailPeche;CSP - Autre membre; 75,20356234;NA; 64,9144254; 59,8802395; 88,50267380;100,0000000;NA; 99,85307082;NA;NA;NA;NA;NA;NA;NA
detailPeche;CSP - Pécheur;  0,00000000;NA;  0,3667482;  0,3592814;  0,08912656;100,0000000;NA; 99,76491331;NA;NA;NA;NA;NA;NA;NA
detailPeche;De passage;  0,38167939;NA; 23,9608802; 12,3353293; 20,23172906;  0,0000000;NA; 60,53482222;NA;NA;NA;NA;NA;NA;NA
detailPeche;Département; 99,94910941;NA; 96,0880196; 98,8023952; 99,28698752;100,0000000;NA; 97,79606230;NA;NA;NA;NA;NA;NA;NA
detailPeche;Durée séjour; 63,04071247;NA; 75,4278729; 85,9880240; 77,45098039;100,0000000;NA; 99,97061416;NA;NA;NA;NA;NA;NA;NA
detailPeche;Fréquence Visites; 80,99236641;NA; 79,9511002; 99,5209581; 98,75222816;100,0000000;NA;100,00000000;NA;NA;NA;NA;NA;NA;NA
detailPeche;Hebergement; 70,66157761;NA; 67,2371638; 92,8143713; 92,60249554;100,0000000;NA;100,00000000;NA;NA;NA;NA;NA;NA;NA
detailPeche;ID Fiche;  0,00000000;NA;  0,0000000;  0,0000000;  0,00000000;  0,0000000;NA;  0,00000000;NA;NA;NA;NA;NA;NA;NA
