Table;Variable;Enquête complète_LifePAP;Enquête complète_NA;Enquête complète_QLittorea complet;Enquête complète_QLittorea intermédiaire;Enquête complète_QLittorea simplifié;Enquête sensibilisation_LifePAP;Enquête sensibilisation_NA;Enquête sensibilisation_QLittorea complet;Enquête sensibilisation_QLittorea intermédiaire;Enquête sensibilisation_QLittorea simplifié;NA_LifePAP;NA_NA;NA_QLittorea complet;NA_QLittorea intermédiaire;NA_QLittorea simplifié
connPeche;Code Enquète;  0,0000000;NA;  0,0000000;  0,0000000;  0,0000000;NA;NA;  0,00000000;NA;NA;NA;NA;NA;NA;NA
connPeche;Connaissance Période;  4,2253521;NA;  9,5890411;  3,0042918;  2,6315789;NA;NA; 99,85304923;NA;NA;NA;NA;NA;NA;NA
connPeche;Connaissance quota;  2,1126761;NA;  5,4794521;  1,7167382;  1,7543860;NA;NA; 99,85304923;NA;NA;NA;NA;NA;NA;NA
connPeche;connaissance réglementation; 14,7887324;NA; 24,6575342;  9,8712446;  4,9707602;NA;NA; 99,85304923;NA;NA;NA;NA;NA;NA;NA
connPeche;Connaissance Règlementation Période; 13,3802817;NA; 34,8336595; 11,5879828;  6,1403509;NA;NA; 99,88978692;NA;NA;NA;NA;NA;NA;NA
connPeche;Conseils consommation; 33,8028169;NA; 22,1135029; 90,9871245; 65,9356725;NA;NA;100,00000000;NA;NA;NA;NA;NA;NA;NA
connPeche;declaration Connaissance;  2,1126761;NA;  4,3052838;  1,7167382;  1,1695906;NA;NA; 99,85304923;NA;NA;NA;NA;NA;NA;NA
connPeche;Espéce maille; 28,8732394;NA; 11,1545988;  6,4377682;  1,4619883;NA;NA; 99,88978692;NA;NA;NA;NA;NA;NA;NA
connPeche;Espèce période; 32,3943662;NA; 26,8101761; 13,7339056; 24,4152047;NA;NA; 99,92652461;NA;NA;NA;NA;NA;NA;NA
connPeche;Espèce quantité; 31,6901408;NA; 19,1780822;  5,5793991;  2,4853801;NA;NA; 99,88978692;NA;NA;NA;NA;NA;NA;NA
connPeche;ID Fiche;  0,0000000;NA;  0,0000000;  0,0000000;  0,0000000;NA;NA;  0,00000000;NA;NA;NA;NA;NA;NA;NA
connPeche;Informé Législation; 15,4929577;NA; 27,7886497; 15,8798283;  6,7251462;NA;NA; 99,85304923;NA;NA;NA;NA;NA;NA;NA
connPeche;Libellé Sortie;  0,0000000;NA;  0,0000000;  0,0000000;  0,0000000;NA;NA;  0,00000000;NA;NA;NA;NA;NA;NA;NA
connPeche;libelle_sortie;  0,0000000;NA;  0,0000000;  0,0000000;  0,0000000;NA;NA;  0,00000000;NA;NA;NA;NA;NA;NA;NA
connPeche;Membre Association; 17,6056338;NA;  4,1095890; 87,1244635; 50,7309942;NA;NA; 99,96326231;NA;NA;NA;NA;NA;NA;NA
connPeche;Nom Association; 93,6619718;NA; 93,3463796; 99,1416309; 98,9766082;NA;NA;100,00000000;NA;NA;NA;NA;NA;NA;NA
connPeche;Outil Conforme; 30,9859155;NA; 42,8571429; 39,4849785; 55,7017544;NA;NA; 60,91109478;NA;NA;NA;NA;NA;NA;NA
connPeche;Périodes Déclarées; 88,7323944;NA; 89,4324853; 90,9871245; 91,3742690;NA;NA;100,00000000;NA;NA;NA;NA;NA;NA;NA
connPeche;Quantité déclarée; 54,2253521;NA; 51,6634051; 45,4935622; 44,0058480;NA;NA; 99,96326231;NA;NA;NA;NA;NA;NA;NA
connPeche;Reglementation Quantité;  6,3380282;NA; 29,5499022;  4,2918455;  1,0233918;NA;NA; 99,88978692;NA;NA;NA;NA;NA;NA;NA
connPeche;Source information législation;  9,1549296;NA; 20,9393346; 16,3090129; 21,0526316;NA;NA; 99,85304923;NA;NA;NA;NA;NA;NA;NA
connPeche;Source outil; 43,6619718;NA; 47,9452055; 42,4892704; 20,0292398;NA;NA; 77,36958119;NA;NA;NA;NA;NA;NA;NA
connPeche;Taille déclarée; 38,0281690;NA; 30,5283757; 35,1931330; 31,5789474;NA;NA; 99,92652461;NA;NA;NA;NA;NA;NA;NA
connPeche;Type d'outil; 51,4084507;NA; 54,0117417; 43,3476395; 24,5614035;NA;NA; 76,78177810;NA;NA;NA;NA;NA;NA;NA
connPeche;Unite; 56,3380282;NA; 53,4246575; 45,4935622; 43,7134503;NA;NA; 99,96326231;NA;NA;NA;NA;NA;NA;NA
connPeche;Utilisation outil;  2,8169014;NA;  4,6966732;  0,8583691;  0,2923977;NA;NA;  0,18368846;NA;NA;NA;NA;NA;NA;NA
detailPeche;Accueil;  7,5268817;NA; 21,9378428;  8,1560284;  0,3504673;NA;NA;  0,36791759;NA;NA;NA;NA;NA;NA;NA
detailPeche;Annee Naissance - Autre membre; 45,6989247;NA; 71,4808044; 43,6170213; 52,5700935;NA;NA; 99,85283297;NA;NA;NA;NA;NA;NA;NA
detailPeche;Annee Naissance - Pécheur;  5,3763441;NA;  7,4954296;  5,6737589;  2,8037383;NA;NA; 99,77924945;NA;NA;NA;NA;NA;NA;NA
detailPeche;Code Enquète;  0,0000000;NA;  0,0000000;  0,0000000;  0,0000000;NA;NA;  0,00000000;NA;NA;NA;NA;NA;NA;NA
detailPeche;Commune résidence;  9,6774194;NA; 14,2595978; 20,2127660;  8,2943925;NA;NA; 97,16703458;NA;NA;NA;NA;NA;NA;NA
detailPeche;Commune séjour; 83,8709677;NA; 79,1590494; 89,3617021; 74,1822430;NA;NA; 99,66887417;NA;NA;NA;NA;NA;NA;NA
detailPeche;CSP - Autre membre; 66,6666667;NA; 72,3948812; 47,1631206; 85,8644860;NA;NA; 99,85283297;NA;NA;NA;NA;NA;NA;NA
detailPeche;CSP - Pécheur;  0,0000000;NA;  0,3656307;  1,0638298;  0,1168224;NA;NA; 99,77924945;NA;NA;NA;NA;NA;NA;NA
detailPeche;De passage; 16,1290323;NA; 29,9817185; 27,3049645;  5,8411215;NA;NA; 52,64900662;NA;NA;NA;NA;NA;NA;NA
detailPeche;Département; 97,8494624;NA; 97,4405850; 96,4539007; 99,5327103;NA;NA; 97,68211921;NA;NA;NA;NA;NA;NA;NA
detailPeche;Durée séjour; 80,6451613;NA; 77,8793419; 92,1985816; 76,2850467;NA;NA; 99,96320824;NA;NA;NA;NA;NA;NA;NA
detailPeche;Fréquence Visites; 86,0215054;NA; 82,4497258; 99,6453901; 98,8317757;NA;NA;100,00000000;NA;NA;NA;NA;NA;NA;NA
detailPeche;Hebergement; 86,0215054;NA; 69,6526508; 95,7446809; 91,7056075;NA;NA;100,00000000;NA;NA;NA;NA;NA;NA;NA
detailPeche;ID Fiche;  0,0000000;NA;  0,0000000;  0,0000000;  0,0000000;NA;NA;  0,00000000;NA;NA;NA;NA;NA;NA;NA
detailPeche;Influence Date; 86,5591398;NA; 74,9542962; 99,6453901; 95,6775701;NA;NA;100,00000000;NA;NA;NA;NA;NA;NA;NA
detailPeche;Influence Destination; 86,5591398;NA; 73,6745887; 99,6453901; 95,5607477;NA;NA;100,00000000;NA;NA;NA;NA;NA;NA;NA
detailPeche;Libellé Sortie;  0,0000000;NA;  0,0000000;  0,0000000;  0,0000000;NA;NA;  0,00000000;NA;NA;NA;NA;NA;NA;NA
detailPeche;libelle_sortie;  0,0000000;NA;  0,0000000;  0,0000000;  0,0000000;NA;NA;  0,00000000;NA;NA;NA;NA;NA;NA;NA
detailPeche;Pays;100,0000000;NA; 99,0859232; 99,2907801; 99,8831776;NA;NA;100,00000000;NA;NA;NA;NA;NA;NA;NA
detailPeche;Précisions remarques; 87,6344086;NA; 98,1718464; 81,9148936; 72,6635514;NA;NA; 76,01177336;NA;NA;NA;NA;NA;NA;NA
detailPeche;Premier Séjour; 73,1182796;NA; 53,7477148; 98,5815603; 94,5093458;NA;NA;100,00000000;NA;NA;NA;NA;NA;NA;NA
detailPeche;Remarques pécheur;100,0000000;NA; 99,6343693; 99,6453901;100,0000000;NA;NA; 29,83811626;NA;NA;NA;NA;NA;NA;NA
detailPeche;Sensibilisation;  8,0645161;NA; 21,9378428;  8,8652482;  1,2850467;NA;NA; 99,81604121;NA;NA;NA;NA;NA;NA;NA
detailPeche;Sexe - Autre membre; 45,6989247;NA; 68,3729433; 39,3617021; 50,4672897;NA;NA; 99,85283297;NA;NA;NA;NA;NA;NA;NA
detailPeche;Sexe - Pécheur;  0,5376344;NA;  1,6453382;  3,5460993;  1,2850467;NA;NA; 99,77924945;NA;NA;NA;NA;NA;NA;NA
detailPeche;Tri récolte;  9,6774194;NA; 28,8848263; 13,1205674;  3,9719626;NA;NA; 99,81604121;NA;NA;NA;NA;NA;NA;NA
ficheTerrain;auteur saisie;  0,1585791;100;  1,3550136;  1,3422819;  1,0917031;  0,1664724;100;  0,29036005;100;100;100;100;100;100;100
ficheTerrain;code site;  0,5074532;100;  1,3550136;  1,3422819;  1,0917031;  0,1664724;100;  0,46457607;100;100;100;100;100;100;100
ficheTerrain;coefficient marée;  0,7294640;100;  2,5745257;  6,8456376;  1,2008734;  0,1997669;100;  1,42276423;100;100;100;100;100;100;100
ficheTerrain;commentaires;  2,4579765;100; 93,2249322; 94,0939597; 81,8777293;  0,1664724;100; 58,18815331;100;100;100;100;100;100;100
ficheTerrain;couverture nuageuse; 70,8372978;100;  8,1300813; 17,3154362;  2,7292576; 60,0466123;100;  0,87108014;100;100;100;100;100;100;100
ficheTerrain;date sortie;  0,1585791;100;  1,3550136;  1,3422819;  1,0917031;  0,1664724;100;  0,29036005;100;100;100;100;100;100;100
ficheTerrain;direction du vent; 74,3736124;100; 76,5582656; 72,2147651; 98,3624454; 40,0199767;100; 75,31939605;100;100;100;100;100;100;100
ficheTerrain;équipe terrain;  2,3469711;100; 74,7967480; 57,1812081; 37,1179039;  2,8633261;100; 17,85714286;100;100;100;100;100;100;100
ficheTerrain;état de la mer; 87,6784015;100; 61,1111111; 72,2147651; 91,9213974; 71,8495089;100; 59,90127758;100;100;100;100;100;100;100
ficheTerrain;force du vent; 52,5372661;100; 59,8915989; 57,0469799; 37,4454148; 39,6204428;100; 47,70615563;100;100;100;100;100;100;100
ficheTerrain;force du vent en rafale; 99,3656835;100; 65,7181572; 87,2483221; 98,9082969;100,0000000;100; 78,83275261;100;100;100;100;100;100;100
ficheTerrain;hauteur basse mer; 99,8255630;100; 79,4037940; 99,7315436; 97,5982533;100,0000000;100; 96,95121951;100;100;100;100;100;100;100
ficheTerrain;heure début; 22,5182366;100; 21,5447154; 82,4161074; 71,5065502;100,0000000;100; 25,23228804;100;100;100;100;100;100;100
ficheTerrain;heure fin; 98,8899461;100; 29,6747967; 84,4295302; 75,2183406;100,0000000;100; 36,64343786;100;100;100;100;100;100;100
ficheTerrain;heure marée basse; 10,0697748;100;  7,1815718; 42,5503356;  1,8558952;  1,3650741;100;  4,18118467;100;100;100;100;100;100;100
ficheTerrain;ID Fiche;  0,0000000;  0;  0,0000000;  0,0000000;  0,0000000;  0,0000000;  0;  0,00000000;  0;  0;  0;  0;  0;  0;  0
ficheTerrain;libellé campagne; 97,6371709;100;  1,3550136;  1,3422819;  1,0917031;100,0000000;100;  0,29036005;100;100;100;100;100;100;100
ficheTerrain;libellé sortie;  0,1585791;100;  1,3550136;  1,3422819;  1,0917031;  0,1664724;100;  0,29036005;100;100;100;100;100;100;100
ficheTerrain;organisme suivi;  0,3171583;100;  2,4390244;  6,3087248;  2,0742358;  0,1664724;100;  4,29732869;100;100;100;100;100;100;100
ficheTerrain;période; 97,7323184;100;  6,5040650; 14,2281879;  1,9650655; 31,0637589;100;  1,21951220;100;100;100;100;100;100;100
ficheTerrain;précipitations; 67,4754202;100;  4,6070461; 17,8523490;  2,8384279; 34,3266189;100;  1,21951220;100;100;100;100;100;100;100
ficheTerrain;pression atmosphérique; 99,4132572;100; 88,3468835; 69,3959732; 99,7816594;100,0000000;100; 90,73751452;100;100;100;100;100;100;100
ficheTerrain;référent sortie;  1,3796384;100; 14,4986450;  1,3422819;  1,0917031;  2,8633261;100;  1,13240418;100;100;100;100;100;100;100
ficheTerrain;site;  0,5074532;100;  1,3550136;  1,3422819;  1,0917031;  0,1664724;100;  0,46457607;100;100;100;100;100;100;100
ficheTerrain;sous site;100,0000000;100;100,0000000;100,0000000;100,0000000;100,0000000;100;100,00000000;100;100;100;100;100;100;100
ficheTerrain;température; 53,0764351;100; 76,6937669; 48,3221477; 93,4497817; 37,7725986;100; 77,26480836;100;100;100;100;100;100;100
ficheTerrain;territoire;  0,4598795;100;  1,3550136;  1,3422819;  1,0917031;  0,1664724;100;  0,29036005;100;100;100;100;100;100;100
ficheTerrain;type de suivi;  0,1585791;100;  1,3550136;  1,3422819;  1,0917031;  0,1664724;100;  0,29036005;100;100;100;100;100;100;100
ficheTerrain;type protocole;  0,1585791;100;  1,3550136;  1,3422819;  1,0917031;  0,1664724;100;  0,29036005;100;100;100;100;100;100;100
ficheTerrain;version protocole; 27,8623533;100;  2,3035230;  1,4765101;  1,0917031;  0,1664724;100;  1,13240418;100;100;100;100;100;100;100
ficheTerrain;versionProtoSimp;  0,1585791;100;  1,4905149;  1,3422819;  1,0917031;  0,1664724;100;  1,13240418;100;100;100;100;100;100;100
ficheTerrain;zone habitat;100,0000000;100; 96,0704607; 99,7315436; 99,1266376;100,0000000;100; 96,83507549;100;100;100;100;100;100;100
jourPeche;Code Enquète;  0,0000000;NA;  0,0000000;  0,0000000;  0,0000000;NA;NA;  0,00000000;NA;NA;NA;NA;NA;NA;NA
jourPeche;Conformité maille;100,0000000;NA; 99,6569468; 99,4134897; 99,9010880;NA;NA; 28,63436123;NA;NA;NA;NA;NA;NA;NA
jourPeche;Conformité quantité;100,0000000;NA; 99,6569468; 99,4134897; 99,9010880;NA;NA; 61,38032305;NA;NA;NA;NA;NA;NA;NA
jourPeche;Espece;  4,7619048;NA; 20,4116638; 12,0234604; 10,0890208;NA;NA; 99,88986784;NA;NA;NA;NA;NA;NA;NA
jourPeche;Heure début récolte;  4,7619048;NA; 30,1886792; 73,0205279; 34,1246291;NA;NA;100,00000000;NA;NA;NA;NA;NA;NA;NA
